Time,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
22.1,-0.0671,0.5769,0.5962,0.4373,0.5735,0.5054,0.4603,0.3012,0.3807,0.7803,0.7727,0.7765
22.2,-0.0439,0.5664,0.5803,0.444,0.551,0.4975,0.4537,0.2844,0.3691,0.7712,0.7547,0.7629
22.3,-0.0235,0.5565,0.5655,0.4502,0.5279,0.489,0.4469,0.271,0.359,0.7636,0.7373,0.7504
22.4,-0.0066,0.5474,0.5521,0.4557,0.505,0.4803,0.4396,0.2615,0.3506,0.7576,0.7208,0.7392
22.5,0.0063,0.5393,0.5404,0.4603,0.4827,0.4715,0.4323,0.2561,0.3442,0.7539,0.7064,0.7302
22.6,0.0153,0.5317,0.5304,0.4644,0.4614,0.4629,0.4254,0.2543,0.3399,0.7529,0.6948,0.7239
22.7,0.0205,0.5246,0.5214,0.4677,0.4412,0.4545,0.419,0.2554,0.3372,0.7544,0.6861,0.7203
22.8,0.0227,0.5178,0.5132,0.4702,0.4227,0.4465,0.4128,0.2588,0.3358,0.7576,0.68,0.7188
22.9,0.0228,0.5113,0.5059,0.4714,0.4061,0.4388,0.4069,0.2642,0.3355,0.7615,0.6758,0.7187
23,0.0218,0.5051,0.4996,0.4711,0.3915,0.4313,0.4017,0.2715,0.3366,0.7655,0.6732,0.7194
23.1,0.0205,0.4989,0.4942,0.4695,0.3787,0.4241,0.3979,0.2807,0.3393,0.7693,0.6722,0.7208
23.2,0.0201,0.4923,0.4898,0.4674,0.3673,0.4173,0.3965,0.2918,0.3442,0.7727,0.6727,0.7227
23.3,0.0216,0.4849,0.4864,0.4652,0.3575,0.4114,0.3981,0.3042,0.3511,0.776,0.6748,0.7254
23.4,0.0266,0.4768,0.4851,0.4633,0.3495,0.4064,0.4025,0.3175,0.36,0.7793,0.6783,0.7288
23.5,0.0363,0.4677,0.4869,0.4618,0.3428,0.4023,0.4093,0.3315,0.3704,0.7831,0.6833,0.7332
23.6,0.0511,0.4577,0.4921,0.4605,0.3369,0.3987,0.418,0.3463,0.3821,0.7877,0.6901,0.7389
23.7,0.0703,0.4464,0.5009,0.4592,0.331,0.3951,0.4282,0.3617,0.3949,0.7929,0.6989,0.7459
23.8,0.093,0.4343,0.5125,0.4579,0.3248,0.3914,0.4399,0.3774,0.4087,0.7979,0.7099,0.7539
23.9,0.1181,0.4218,0.5266,0.4563,0.3188,0.3875,0.4532,0.3932,0.4232,0.8016,0.7223,0.7619
24,0.144,0.4097,0.543,0.4542,0.3129,0.3835,0.4678,0.4087,0.4382,0.8036,0.7354,0.7695
24.1,0.1699,0.3984,0.5616,0.4514,0.3071,0.3793,0.4833,0.4232,0.4533,0.8041,0.7483,0.7762
24.2,0.195,0.3881,0.5816,0.4479,0.3012,0.3745,0.4991,0.4362,0.4677,0.803,0.7604,0.7817
24.3,0.2192,0.3789,0.6019,0.4436,0.2951,0.3693,0.5143,0.4469,0.4806,0.8001,0.7715,0.7858
24.4,0.2416,0.3709,0.622,0.4385,0.2889,0.3637,0.5279,0.4546,0.4913,0.7953,0.7818,0.7885
24.5,0.2606,0.3646,0.6417,0.4327,0.2829,0.3578,0.5392,0.4591,0.4991,0.7879,0.7917,0.7898
24.6,0.2745,0.3604,0.6613,0.4264,0.2773,0.3519,0.5479,0.4608,0.5044,0.7774,0.8016,0.7895
24.7,0.2824,0.3584,0.6812,0.4203,0.2723,0.3463,0.5549,0.4603,0.5076,0.7638,0.8115,0.7876
24.8,0.2846,0.3585,0.701,0.4152,0.2684,0.3418,0.5607,0.4584,0.5095,0.7476,0.8212,0.7844
24.9,0.2822,0.3609,0.7202,0.4118,0.2663,0.339,0.5652,0.4558,0.5105,0.7296,0.8303,0.78
25,0.2752,0.366,0.7383,0.4107,0.267,0.3389,0.5681,0.4529,0.5105,0.7107,0.8384,0.7745
25.1,0.2623,0.3742,0.7557,0.413,0.2714,0.3422,0.5692,0.45,0.5096,0.6914,0.8453,0.7684
25.2,0.2416,0.386,0.7724,0.4188,0.2806,0.3497,0.5684,0.4466,0.5075,0.6723,0.8509,0.7616
25.3,0.2123,0.4015,0.7879,0.4279,0.295,0.3614,0.5659,0.4425,0.5042,0.6539,0.8547,0.7543
25.4,0.1748,0.4208,0.8016,0.4401,0.3143,0.3772,0.5618,0.4376,0.4997,0.6368,0.8562,0.7465
25.5,0.1304,0.444,0.8124,0.4551,0.3383,0.3967,0.5565,0.4322,0.4944,0.6215,0.8547,0.7381
25.6,0.0807,0.4718,0.8194,0.4732,0.3667,0.4199,0.5503,0.4266,0.4885,0.6084,0.8503,0.7293
25.7,0.028,0.5044,0.8226,0.4946,0.3988,0.4467,0.5436,0.4213,0.4825,0.5981,0.8432,0.7206
25.8,-0.0244,0.5414,0.8222,0.5196,0.4341,0.4769,0.5369,0.4165,0.4767,0.5906,0.834,0.7123
25.9,-0.0724,0.5814,0.8185,0.5481,0.4714,0.5098,0.5302,0.412,0.4711,0.5853,0.8228,0.704
26,-0.1128,0.6225,0.8117,0.5796,0.5098,0.5447,0.5234,0.4081,0.4658,0.5815,0.8087,0.6951
26.1,-0.1439,0.663,0.8021,0.6135,0.5477,0.5806,0.5162,0.4054,0.4608,0.5784,0.7912,0.6848
26.2,-0.1652,0.7011,0.7902,0.6487,0.5834,0.6161,0.5086,0.4044,0.4565,0.5765,0.7712,0.6738
26.3,-0.176,0.7351,0.7766,0.6841,0.6154,0.6497,0.5014,0.4049,0.4531,0.5769,0.7503,0.6636
26.4,-0.1759,0.7638,0.7615,0.7186,0.6423,0.6804,0.4952,0.4062,0.4507,0.5806,0.7304,0.6555
26.5,-0.1649,0.7868,0.7449,0.7513,0.6639,0.7076,0.491,0.4077,0.4494,0.5878,0.7124,0.6501
26.6,-0.1446,0.805,0.7265,0.7814,0.6808,0.7311,0.489,0.409,0.449,0.5982,0.6968,0.6475
26.7,-0.1173,0.8196,0.7062,0.8079,0.6941,0.751,0.489,0.4103,0.4496,0.6112,0.684,0.6476
26.8,-0.0857,0.8312,0.684,0.8297,0.7045,0.7671,0.4903,0.4116,0.4509,0.6269,0.675,0.6509
26.9,-0.0526,0.8398,0.6594,0.8457,0.7122,0.7789,0.4922,0.413,0.4526,0.6446,0.67,0.6573
27,-0.02,0.8447,0.6311,0.8555,0.7167,0.7861,0.4943,0.4138,0.4541,0.6632,0.6681,0.6656
27.1,0.0107,0.8453,0.5985,0.8592,0.7176,0.7884,0.496,0.4132,0.4546,0.6812,0.668,0.6746
27.2,0.0389,0.8417,0.5617,0.8567,0.7149,0.7858,0.4967,0.4109,0.4538,0.697,0.6682,0.6826
27.3,0.0645,0.8336,0.5217,0.848,0.7084,0.7782,0.4957,0.4072,0.4515,0.7102,0.6675,0.6888
27.4,0.0882,0.8209,0.4801,0.8332,0.6977,0.7655,0.4926,0.4031,0.4478,0.7205,0.665,0.6928
27.5,0.1107,0.8038,0.4377,0.8129,0.6824,0.7476,0.4875,0.3994,0.4435,0.7271,0.6603,0.6937
27.6,0.1318,0.7827,0.395,0.7874,0.6621,0.7247,0.481,0.3967,0.4388,0.7292,0.6533,0.6913
27.7,0.1503,0.7582,0.3532,0.7572,0.637,0.6971,0.4734,0.3954,0.4344,0.7267,0.6448,0.6857
27.8,0.1648,0.731,0.3138,0.7228,0.6081,0.6654,0.4649,0.3956,0.4302,0.72,0.6361,0.678
27.9,0.1748,0.7013,0.2788,0.6853,0.5766,0.631,0.4561,0.3974,0.4267,0.7099,0.6279,0.6689
28,0.1809,0.6701,0.2491,0.6466,0.5444,0.5955,0.4476,0.4011,0.4243,0.6972,0.6202,0.6587
28.1,0.1847,0.6384,0.225,0.6089,0.5132,0.561,0.4403,0.4064,0.4234,0.6826,0.6127,0.6477
28.2,0.1874,0.6076,0.2062,0.5737,0.4841,0.5289,0.4351,0.4128,0.4239,0.667,0.6058,0.6364
28.3,0.1892,0.5788,0.1928,0.5422,0.4578,0.5,0.4316,0.4195,0.4255,0.6514,0.6006,0.626
28.4,0.1897,0.5526,0.185,0.5148,0.4344,0.4746,0.4294,0.4257,0.4275,0.6371,0.5977,0.6174
28.5,0.1888,0.5287,0.1829,0.4915,0.4137,0.4526,0.4278,0.431,0.4294,0.6245,0.5973,0.6109
28.6,0.1864,0.5069,0.1858,0.4722,0.3954,0.4338,0.4264,0.4355,0.431,0.6134,0.5991,0.6062
28.7,0.1827,0.4865,0.1927,0.4563,0.3794,0.4179,0.4255,0.4397,0.4326,0.604,0.6025,0.6033
28.8,0.1774,0.4677,0.2023,0.4437,0.3662,0.4049,0.425,0.4443,0.4346,0.5965,0.6076,0.602
28.9,0.1708,0.4508,0.2136,0.4343,0.3558,0.395,0.4246,0.4497,0.4371,0.5913,0.6142,0.6027
29,0.1632,0.4362,0.2257,0.4282,0.3484,0.3883,0.4244,0.4558,0.4401,0.5889,0.6217,0.6053
29.1,0.1552,0.4242,0.2378,0.4257,0.3439,0.3848,0.4248,0.4629,0.4439,0.5897,0.6293,0.6095
29.2,0.1468,0.4146,0.2492,0.4265,0.3422,0.3844,0.4257,0.471,0.4483,0.594,0.6363,0.6151
29.3,0.1374,0.4068,0.2585,0.4298,0.3427,0.3863,0.4269,0.4799,0.4534,0.6021,0.6421,0.6221
29.4,0.1262,0.4003,0.2644,0.4348,0.3446,0.3897,0.4279,0.4897,0.4588,0.6145,0.6467,0.6306
29.5,0.1123,0.3948,0.2658,0.441,0.3469,0.394,0.4287,0.5002,0.4645,0.6311,0.65,0.6406
29.6,0.0955,0.3902,0.2629,0.4483,0.3493,0.3988,0.4301,0.5116,0.4709,0.6522,0.652,0.6521
29.7,0.0758,0.3868,0.2569,0.457,0.3523,0.4047,0.4337,0.5242,0.479,0.6775,0.6527,0.6651
29.8,0.0524,0.3855,0.2497,0.4677,0.3571,0.4124,0.4404,0.5385,0.4894,0.7066,0.6517,0.6792
29.9,0.0243,0.3877,0.2426,0.4811,0.365,0.423,0.4502,0.5546,0.5024,0.7385,0.6486,0.6935
