Time,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1606,0.6195,0.7557,0.7568,0.7812,0.769,0.5241,0.8365,0.6803,0.4635,0.4417,0.4526
0.1,0.1746,0.6156,0.7653,0.7594,0.7721,0.7658,0.5365,0.8234,0.68,0.4572,0.443,0.4501
0.2,0.1812,0.6097,0.7719,0.7597,0.7619,0.7608,0.5518,0.8098,0.6808,0.4524,0.4456,0.449
0.3,0.1805,0.6023,0.7756,0.7581,0.7517,0.7549,0.5697,0.7972,0.6834,0.4491,0.4498,0.4495
0.4,0.1731,0.5937,0.777,0.755,0.7425,0.7488,0.5896,0.7866,0.6881,0.4477,0.4557,0.4517
0.5,0.1604,0.5842,0.7764,0.7503,0.7343,0.7423,0.6106,0.7778,0.6942,0.4487,0.4639,0.4563
0.6,0.1441,0.5737,0.7736,0.7436,0.7267,0.7351,0.6314,0.7701,0.7007,0.4522,0.4742,0.4632
0.7,0.1256,0.5621,0.7677,0.7347,0.7189,0.7268,0.6506,0.7624,0.7065,0.4579,0.4856,0.4718
0.8,0.1053,0.5495,0.7582,0.7234,0.7106,0.717,0.6671,0.7544,0.7107,0.4647,0.4971,0.4809
0.9,0.0837,0.5366,0.7452,0.7104,0.7017,0.7061,0.6801,0.7462,0.7132,0.4717,0.5076,0.4897
1,0.0616,0.5239,0.7292,0.6963,0.6926,0.6944,0.6895,0.7378,0.7137,0.4789,0.5174,0.4981
1.1,0.0402,0.5119,0.7105,0.6815,0.6833,0.6824,0.6951,0.7284,0.7117,0.4863,0.5268,0.5065
1.2,0.02,0.5008,0.6897,0.6662,0.6741,0.6702,0.6966,0.7174,0.707,0.4941,0.5359,0.515
1.3,0.0008,0.4906,0.6672,0.6507,0.6649,0.6578,0.694,0.7051,0.6996,0.5019,0.5447,0.5233
1.4,-0.0183,0.4811,0.6445,0.6351,0.6552,0.6451,0.6873,0.6926,0.6899,0.509,0.5527,0.5308
1.5,-0.0375,0.4722,0.6231,0.6193,0.6447,0.632,0.6768,0.6809,0.6788,0.5149,0.5596,0.5373
1.6,-0.0563,0.4639,0.6039,0.6034,0.633,0.6182,0.6629,0.6704,0.6667,0.5197,0.5656,0.5426
1.7,-0.0733,0.4561,0.5865,0.5871,0.6197,0.6034,0.6459,0.6608,0.6533,0.5231,0.5705,0.5468
1.8,-0.087,0.449,0.5705,0.5709,0.6048,0.5878,0.6263,0.6515,0.6389,0.5247,0.5741,0.5494
1.9,-0.0964,0.4428,0.5562,0.5554,0.5885,0.5719,0.6051,0.6426,0.6238,0.5241,0.576,0.5501
2,-0.101,0.438,0.5445,0.5412,0.5714,0.5563,0.5838,0.6351,0.6094,0.5214,0.5768,0.5491
2.1,-0.1007,0.4354,0.5363,0.5289,0.5544,0.5416,0.5643,0.63,0.5972,0.5171,0.5771,0.5471
2.2,-0.0954,0.4356,0.5321,0.5187,0.5385,0.5286,0.5481,0.6284,0.5883,0.5118,0.5777,0.5448
2.3,-0.0845,0.4385,0.5313,0.5106,0.5243,0.5174,0.5365,0.6303,0.5834,0.5061,0.579,0.5426
2.4,-0.0675,0.4437,0.5331,0.5048,0.5118,0.5083,0.5297,0.6352,0.5824,0.5001,0.5811,0.5406
