Time,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1809,0.9871,0.6554,0.5269,0.6112,0.5691,0.433,0.4696,0.4513,0.8844,0.6639,0.7741
0.1,-0.259,0.9551,0.6922,0.527,0.606,0.5665,0.4423,0.4671,0.4547,0.8661,0.667,0.7665
0.2,-0.3363,0.9163,0.7263,0.5249,0.5966,0.5607,0.4517,0.4647,0.4582,0.848,0.6705,0.7593
0.3,-0.4085,0.8712,0.755,0.5197,0.583,0.5513,0.4609,0.4622,0.4615,0.8303,0.674,0.7522
0.4,-0.471,0.8202,0.7757,0.5104,0.5652,0.5378,0.4692,0.4591,0.4642,0.8132,0.677,0.7451
0.5,-0.521,0.7656,0.7864,0.4973,0.5436,0.5204,0.4766,0.4552,0.4659,0.797,0.6793,0.7381
0.6,-0.5571,0.7109,0.786,0.4811,0.5192,0.5001,0.4834,0.4503,0.4668,0.7822,0.681,0.7316
0.7,-0.5787,0.6594,0.7746,0.4625,0.4939,0.4782,0.4904,0.4441,0.4673,0.7694,0.6825,0.726
0.8,-0.5863,0.613,0.7535,0.4423,0.47,0.4562,0.4982,0.4369,0.4676,0.7582,0.6839,0.7211
0.9,-0.5815,0.5725,0.7246,0.4213,0.449,0.4351,0.5072,0.4284,0.4678,0.7478,0.6849,0.7163
1,-0.5667,0.5377,0.6907,0.4009,0.4307,0.4158,0.5172,0.4184,0.4678,0.7374,0.6848,0.7111
1.1,-0.5442,0.5091,0.6549,0.3825,0.4151,0.3988,0.5282,0.4068,0.4675,0.7266,0.6837,0.7051
1.2,-0.5159,0.4869,0.6201,0.3672,0.4021,0.3846,0.5404,0.3935,0.4669,0.7153,0.6818,0.6986
1.3,-0.4826,0.4713,0.5882,0.3553,0.3919,0.3736,0.5536,0.3795,0.4665,0.7031,0.6795,0.6913
1.4,-0.4451,0.4616,0.5599,0.3473,0.3843,0.3658,0.5671,0.3655,0.4663,0.6891,0.6764,0.6827
1.5,-0.4043,0.457,0.535,0.3431,0.3789,0.361,0.5798,0.3522,0.466,0.6727,0.6716,0.6721
1.6,-0.3623,0.4561,0.513,0.3425,0.3757,0.3591,0.5909,0.3392,0.465,0.6541,0.6646,0.6593
1.7,-0.3208,0.4577,0.4929,0.3451,0.3745,0.3598,0.6,0.3257,0.4628,0.6336,0.6551,0.6443
1.8,-0.2811,0.4608,0.4737,0.3501,0.3752,0.3627,0.6068,0.3114,0.4591,0.6115,0.643,0.6273
1.9,-0.2423,0.4648,0.4553,0.3573,0.377,0.3672,0.6112,0.2964,0.4538,0.5878,0.628,0.6079
2,-0.2045,0.4691,0.4376,0.3667,0.3792,0.373,0.6123,0.2813,0.4468,0.5625,0.6097,0.5861
2.1,-0.169,0.4735,0.4209,0.3786,0.3816,0.3801,0.6095,0.2668,0.4382,0.5355,0.5885,0.562
2.2,-0.1381,0.4781,0.4054,0.3925,0.3852,0.3889,0.6026,0.2536,0.4281,0.5073,0.5648,0.5361
2.3,-0.1137,0.4823,0.3911,0.4072,0.3907,0.399,0.5918,0.2422,0.417,0.4784,0.5391,0.5087
2.4,-0.0969,0.4852,0.3785,0.4209,0.3972,0.4091,0.5777,0.2333,0.4055,0.4491,0.5116,0.4804
2.5,-0.0871,0.4857,0.3682,0.4328,0.4036,0.4182,0.561,0.2271,0.3941,0.4197,0.4822,0.4509
2.6,-0.0832,0.4834,0.3606,0.4432,0.4089,0.426,0.5428,0.2241,0.3834,0.3904,0.4511,0.4208
2.7,-0.0836,0.4786,0.3564,0.4529,0.4133,0.4331,0.5251,0.2243,0.3747,0.3621,0.4196,0.3909
2.8,-0.0869,0.4721,0.3557,0.4621,0.417,0.4395,0.5098,0.2279,0.3688,0.3363,0.3894,0.3629
2.9,-0.0919,0.4644,0.3586,0.4704,0.4197,0.445,0.4985,0.2343,0.3664,0.3141,0.3621,0.3381
3,-0.0981,0.4554,0.3646,0.4768,0.4207,0.4488,0.4916,0.2428,0.3672,0.2958,0.3382,0.317
3.1,-0.1058,0.4454,0.3732,0.4809,0.4197,0.4503,0.4891,0.2524,0.3707,0.2813,0.3184,0.2999
3.2,-0.1154,0.4349,0.3835,0.4828,0.4167,0.4498,0.4907,0.2621,0.3764,0.2705,0.3035,0.287
3.3,-0.1265,0.4248,0.3946,0.4825,0.4127,0.4476,0.4966,0.2708,0.3837,0.2632,0.2942,0.2787
3.4,-0.1382,0.4153,0.4054,0.48,0.4078,0.4439,0.5064,0.2776,0.392,0.2589,0.2905,0.2747
3.5,-0.1501,0.406,0.4147,0.4754,0.402,0.4387,0.5197,0.2817,0.4007,0.2566,0.2917,0.2742
3.6,-0.1615,0.3962,0.4222,0.4694,0.3955,0.4324,0.5361,0.2831,0.4096,0.2554,0.2966,0.276
3.7,-0.1718,0.3861,0.4277,0.4628,0.3887,0.4257,0.5553,0.2818,0.4186,0.2547,0.3042,0.2794
3.8,-0.1812,0.3764,0.4318,0.4567,0.3827,0.4197,0.5777,0.2781,0.4279,0.2544,0.3142,0.2843
3.9,-0.1904,0.3682,0.4347,0.4518,0.3787,0.4153,0.603,0.2727,0.4379,0.2543,0.326,0.2901
4,-0.2001,0.3626,0.4364,0.4488,0.3783,0.4136,0.6305,0.2663,0.4484,0.2543,0.3388,0.2965
