Time,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
27.6,-0.0165,0.5289,0.6296,0.6348,0.641,0.6379,0.5576,0.6106,0.5841,0.8054,0.8372,0.8213
27.7,-0.024,0.5645,0.65,0.6503,0.659,0.6547,0.5521,0.6135,0.5828,0.8061,0.8354,0.8207
27.8,-0.0331,0.6031,0.67,0.665,0.6757,0.6703,0.5449,0.6142,0.5796,0.8075,0.8341,0.8208
27.9,-0.0439,0.6425,0.6886,0.6784,0.6906,0.6845,0.5365,0.6131,0.5748,0.8086,0.8326,0.8206
28,-0.0552,0.6809,0.7053,0.6907,0.7034,0.6971,0.5276,0.6106,0.5691,0.8084,0.8299,0.8192
28.1,-0.0658,0.7166,0.72,0.7017,0.7133,0.7075,0.519,0.6069,0.563,0.8065,0.8259,0.8162
28.2,-0.0764,0.7484,0.7327,0.7108,0.7199,0.7154,0.5114,0.6019,0.5567,0.8028,0.821,0.8119
28.3,-0.0892,0.7755,0.7428,0.7173,0.7229,0.7201,0.5051,0.5951,0.5501,0.7975,0.8153,0.8064
28.4,-0.1056,0.7985,0.7494,0.721,0.7226,0.7218,0.5005,0.5867,0.5436,0.7903,0.8087,0.7995
28.5,-0.1258,0.8181,0.7521,0.7228,0.7195,0.7211,0.4982,0.5772,0.5377,0.7806,0.8007,0.7907
28.6,-0.148,0.8349,0.7505,0.7231,0.7139,0.7185,0.4987,0.5677,0.5332,0.7682,0.7913,0.7798
28.7,-0.1697,0.8486,0.7441,0.7221,0.7057,0.7139,0.5023,0.5588,0.5306,0.7528,0.7806,0.7667
28.8,-0.1882,0.8586,0.7325,0.7194,0.6944,0.7069,0.5088,0.5511,0.53,0.7344,0.7687,0.7515
28.9,-0.2021,0.8644,0.7149,0.7146,0.679,0.6968,0.5175,0.5446,0.5311,0.7137,0.7554,0.7345
29,-0.2117,0.8656,0.6911,0.7078,0.6592,0.6835,0.5274,0.5393,0.5333,0.6908,0.7413,0.716
29.1,-0.2181,0.8612,0.6622,0.6996,0.6344,0.667,0.537,0.5351,0.536,0.6665,0.7271,0.6968
29.2,-0.2224,0.8502,0.63,0.6902,0.6046,0.6474,0.5455,0.5317,0.5386,0.6417,0.7142,0.678
29.3,-0.2236,0.8316,0.5966,0.6798,0.5701,0.6249,0.5525,0.5294,0.5409,0.6174,0.7033,0.6603
29.4,-0.22,0.8054,0.5637,0.6683,0.5319,0.6001,0.5584,0.5287,0.5436,0.5939,0.6941,0.644
29.5,-0.2101,0.7719,0.5324,0.6563,0.4916,0.5739,0.5637,0.5302,0.547,0.5711,0.6863,0.6287
29.6,-0.1933,0.7317,0.5042,0.6441,0.451,0.5475,0.5691,0.5336,0.5513,0.5486,0.6798,0.6142
29.7,-0.1688,0.6856,0.4808,0.6321,0.4121,0.5221,0.5748,0.5388,0.5568,0.5274,0.6748,0.6011
29.8,-0.1363,0.6344,0.4624,0.62,0.3763,0.4981,0.5806,0.5455,0.563,0.5087,0.6722,0.5904
29.9,-0.0968,0.5799,0.4489,0.6068,0.344,0.4754,0.5861,0.5528,0.5695,0.4934,0.6724,0.5829
