Time,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
27.2,0.3517,0.5494,0.499,0.5654,0.2793,0.4223,0.5077,0.3311,0.4194,0.5089,0.4646,0.4867
27.3,0.3516,0.5377,0.4876,0.5631,0.2826,0.4229,0.5037,0.3267,0.4152,0.5137,0.4593,0.4865
27.4,0.3466,0.5215,0.4758,0.5579,0.2846,0.4212,0.4977,0.3233,0.4105,0.5181,0.455,0.4865
27.5,0.3372,0.5011,0.4634,0.5498,0.2852,0.4175,0.49,0.3206,0.4053,0.522,0.4516,0.4868
27.6,0.3243,0.477,0.4507,0.5388,0.284,0.4114,0.4806,0.3182,0.3994,0.5256,0.4496,0.4876
27.7,0.3089,0.4503,0.4382,0.5253,0.2811,0.4032,0.4699,0.3161,0.393,0.5289,0.4489,0.4889
27.8,0.2918,0.422,0.4263,0.5104,0.2768,0.3936,0.4589,0.3147,0.3868,0.5323,0.4496,0.4909
27.9,0.274,0.3932,0.4155,0.495,0.2712,0.3831,0.4487,0.3143,0.3815,0.5358,0.4519,0.4938
28,0.2561,0.3647,0.4061,0.4798,0.2647,0.3723,0.4406,0.3153,0.3779,0.5397,0.4558,0.4978
28.1,0.2385,0.3374,0.3986,0.4651,0.2576,0.3614,0.4351,0.3174,0.3762,0.5443,0.4615,0.5029
28.2,0.2205,0.312,0.3932,0.4512,0.2505,0.3509,0.432,0.3205,0.3763,0.5495,0.4689,0.5092
28.3,0.2013,0.2893,0.39,0.4388,0.2442,0.3415,0.4309,0.3248,0.3778,0.5551,0.4776,0.5164
28.4,0.1804,0.2697,0.389,0.4292,0.2397,0.3344,0.4314,0.3305,0.381,0.5611,0.4875,0.5243
28.5,0.1583,0.2537,0.3899,0.4239,0.238,0.331,0.4332,0.3377,0.3855,0.5673,0.4982,0.5328
28.6,0.1358,0.242,0.3925,0.4245,0.2399,0.3322,0.436,0.3459,0.3909,0.5737,0.5095,0.5416
28.7,0.1136,0.235,0.3968,0.432,0.2459,0.339,0.4393,0.3548,0.397,0.5803,0.5215,0.5509
28.8,0.092,0.2331,0.4031,0.4469,0.2564,0.3517,0.4431,0.3641,0.4036,0.5874,0.5341,0.5607
28.9,0.072,0.2363,0.4115,0.4688,0.2714,0.3701,0.4473,0.3738,0.4105,0.5948,0.5473,0.5711
29,0.0547,0.2442,0.4224,0.4971,0.2906,0.3938,0.4514,0.3835,0.4175,0.6029,0.5615,0.5822
29.1,0.0416,0.2563,0.4355,0.5313,0.3134,0.4223,0.4554,0.3925,0.424,0.6118,0.5769,0.5944
29.2,0.0338,0.272,0.4505,0.571,0.3395,0.4552,0.4591,0.4004,0.4297,0.6216,0.5937,0.6077
29.3,0.0321,0.291,0.4669,0.6157,0.3686,0.4922,0.463,0.407,0.435,0.6325,0.6121,0.6223
29.4,0.0369,0.3127,0.4847,0.6647,0.4004,0.5326,0.4673,0.4127,0.44,0.6441,0.6325,0.6383
29.5,0.0482,0.3367,0.5042,0.717,0.4346,0.5758,0.4717,0.4176,0.4447,0.6562,0.6554,0.6558
29.6,0.0663,0.363,0.526,0.7716,0.4708,0.6212,0.4757,0.4221,0.4489,0.669,0.6809,0.6749
29.7,0.0917,0.392,0.5502,0.8277,0.5093,0.6685,0.4793,0.4262,0.4527,0.6824,0.7088,0.6956
29.8,0.1242,0.424,0.5767,0.8839,0.5499,0.7169,0.4829,0.4297,0.4563,0.6962,0.7383,0.7173
29.9,0.1629,0.4589,0.6049,0.9387,0.5923,0.7655,0.4874,0.4327,0.4601,0.7094,0.7687,0.739
