Time,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
22.2,-0.4636,0.5594,0.8081,0.5045,0.5184,0.5115,0.4485,0.6746,0.5615,0.6682,0.4828,0.5755
22.3,-0.46,0.5417,0.8045,0.5003,0.4883,0.4943,0.4593,0.6785,0.5689,0.6681,0.4793,0.5737
22.4,-0.4539,0.5203,0.7953,0.4929,0.4546,0.4737,0.4713,0.6773,0.5743,0.6649,0.4763,0.5706
22.5,-0.4442,0.4965,0.7806,0.482,0.4176,0.4498,0.4849,0.6702,0.5776,0.6581,0.4739,0.566
22.6,-0.4297,0.471,0.7611,0.4682,0.3781,0.4232,0.5001,0.6575,0.5788,0.647,0.4718,0.5594
22.7,-0.4094,0.4439,0.737,0.4518,0.3368,0.3943,0.5162,0.6401,0.5782,0.6318,0.4699,0.5509
22.8,-0.3835,0.4151,0.7096,0.4321,0.2939,0.363,0.532,0.6191,0.5756,0.6131,0.4688,0.541
22.9,-0.353,0.3847,0.6812,0.4085,0.2498,0.3291,0.5459,0.5958,0.5709,0.5919,0.469,0.5304
23,-0.3192,0.3535,0.6536,0.3812,0.206,0.2936,0.557,0.5713,0.5641,0.569,0.4705,0.5198
23.1,-0.2841,0.3231,0.6285,0.3527,0.1653,0.259,0.565,0.5469,0.556,0.5456,0.4736,0.5096
23.2,-0.2494,0.2951,0.607,0.326,0.1306,0.2283,0.5706,0.5239,0.5472,0.5225,0.478,0.5002
23.3,-0.2163,0.271,0.5894,0.3039,0.104,0.204,0.5742,0.5033,0.5388,0.5004,0.4833,0.4918
23.4,-0.1854,0.2522,0.5762,0.2881,0.0859,0.187,0.5768,0.4863,0.5315,0.4804,0.4893,0.4849
23.5,-0.1578,0.2394,0.5682,0.2796,0.0759,0.1777,0.5784,0.4736,0.526,0.463,0.4957,0.4794
23.6,-0.1349,0.2332,0.5654,0.2787,0.0734,0.176,0.5791,0.4648,0.522,0.4481,0.5017,0.4749
23.7,-0.1189,0.2336,0.5669,0.2849,0.0776,0.1812,0.5792,0.4592,0.5192,0.4358,0.5064,0.4711
23.8,-0.1108,0.2403,0.5717,0.2962,0.0879,0.1921,0.5792,0.4566,0.5179,0.4264,0.5096,0.468
23.9,-0.1103,0.2525,0.5789,0.3107,0.1034,0.207,0.58,0.4576,0.5188,0.4213,0.5114,0.4663
24,-0.1156,0.2689,0.5877,0.3275,0.1232,0.2254,0.5815,0.4622,0.5219,0.4216,0.5123,0.467
24.1,-0.1242,0.2891,0.5971,0.3473,0.1469,0.2471,0.5833,0.47,0.5267,0.4281,0.513,0.4705
24.2,-0.1338,0.3121,0.606,0.3703,0.1742,0.2722,0.5847,0.4801,0.5324,0.4412,0.5137,0.4775
24.3,-0.1429,0.3371,0.6136,0.3964,0.2045,0.3004,0.5856,0.4917,0.5387,0.4612,0.515,0.4881
24.4,-0.1502,0.3629,0.6194,0.4247,0.237,0.3308,0.5862,0.5045,0.5454,0.4885,0.5173,0.5029
24.5,-0.154,0.3893,0.6234,0.4548,0.271,0.3629,0.5873,0.5188,0.553,0.5229,0.521,0.5219
24.6,-0.1522,0.4155,0.6255,0.487,0.3056,0.3963,0.5895,0.5349,0.5622,0.5639,0.5265,0.5452
24.7,-0.1436,0.4407,0.6256,0.5214,0.339,0.4302,0.5933,0.5519,0.5726,0.6105,0.5342,0.5723
24.8,-0.1276,0.4634,0.6237,0.5567,0.3684,0.4626,0.5985,0.5683,0.5834,0.6604,0.5442,0.6023
24.9,-0.1045,0.4826,0.6204,0.5915,0.391,0.4913,0.6045,0.5825,0.5935,0.711,0.5564,0.6337
25,-0.0755,0.4977,0.6162,0.624,0.4058,0.5149,0.6102,0.5938,0.602,0.76,0.5713,0.6656
25.1,-0.0422,0.5088,0.6112,0.6524,0.4135,0.5329,0.6153,0.6018,0.6086,0.8058,0.5894,0.6976
25.2,-0.0068,0.516,0.6054,0.6752,0.4147,0.545,0.6199,0.6067,0.6133,0.8466,0.6104,0.7285
25.3,0.0277,0.5191,0.5988,0.691,0.4101,0.5505,0.6244,0.6085,0.6165,0.8812,0.634,0.7576
25.4,0.0579,0.5184,0.592,0.6987,0.4,0.5494,0.6291,0.6072,0.6182,0.9092,0.6594,0.7843
25.5,0.0813,0.5142,0.5855,0.6983,0.3858,0.5421,0.6346,0.6032,0.6189,0.9313,0.6868,0.8091
25.6,0.0959,0.5071,0.5798,0.6914,0.3689,0.5301,0.6414,0.5976,0.6195,0.9487,0.7168,0.8327
25.7,0.1015,0.4975,0.5753,0.6795,0.3512,0.5153,0.6506,0.5921,0.6214,0.9619,0.7493,0.8556
25.8,0.0988,0.4861,0.572,0.6639,0.3343,0.4991,0.6629,0.5881,0.6255,0.9709,0.7838,0.8773
25.9,0.0895,0.4731,0.5699,0.6458,0.3193,0.4825,0.6776,0.5864,0.632,0.9759,0.8193,0.8976
26,0.0751,0.4593,0.5692,0.6262,0.307,0.4666,0.6935,0.5872,0.6403,0.9776,0.855,0.9163
26.1,0.0571,0.4451,0.5705,0.606,0.2978,0.4519,0.7097,0.5903,0.65,0.9767,0.8904,0.9336
26.2,0.037,0.4311,0.574,0.5864,0.2921,0.4393,0.7263,0.5961,0.6612,0.9742,0.9248,0.9495
26.3,0.0163,0.4181,0.5797,0.5692,0.2903,0.4297,0.7438,0.6048,0.6743,0.9703,0.9571,0.9637
26.4,-0.0037,0.4068,0.5869,0.5556,0.2925,0.4241,0.7629,0.6161,0.6895,0.9646,0.9858,0.9752
26.5,-0.0226,0.3979,0.5944,0.546,0.2986,0.4223,0.783,0.6292,0.7061,0.9567,1.0089,0.9828
26.6,-0.0402,0.3913,0.6014,0.5395,0.308,0.4238,0.8031,0.6426,0.7229,0.946,1.0247,0.9853
26.7,-0.0569,0.3869,0.6077,0.5353,0.3201,0.4277,0.8224,0.6556,0.739,0.9327,1.0324,0.9826
26.8,-0.0739,0.3846,0.6135,0.533,0.3345,0.4337,0.8403,0.6682,0.7542,0.9171,1.0327,0.9749
26.9,-0.092,0.3848,0.6192,0.5325,0.3507,0.4416,0.8563,0.6804,0.7684,0.8993,1.0256,0.9625
27,-0.1119,0.3874,0.6242,0.5336,0.3689,0.4513,0.8696,0.6918,0.7807,0.8792,1.0109,0.9451
27.1,-0.1337,0.3923,0.6279,0.5357,0.3892,0.4624,0.8792,0.7021,0.7907,0.8567,0.9887,0.9227
27.2,-0.1567,0.3989,0.6306,0.5384,0.4112,0.4748,0.8848,0.7111,0.798,0.8314,0.959,0.8952
27.3,-0.1798,0.4064,0.6327,0.5414,0.4348,0.4881,0.8862,0.7186,0.8024,0.8032,0.9221,0.8627
27.4,-0.202,0.4144,0.6346,0.5441,0.4597,0.5019,0.8831,0.7245,0.8038,0.7723,0.8796,0.826
27.5,-0.2229,0.4224,0.6364,0.5454,0.4854,0.5154,0.8757,0.7285,0.8021,0.7396,0.8337,0.7866
27.6,-0.2419,0.4298,0.6376,0.5433,0.5113,0.5273,0.8642,0.7301,0.7972,0.706,0.7863,0.7462
27.7,-0.2574,0.4359,0.6379,0.5359,0.5355,0.5357,0.8495,0.7286,0.789,0.672,0.7392,0.7056
27.8,-0.2674,0.4406,0.637,0.5231,0.5563,0.5397,0.8328,0.7239,0.7784,0.638,0.6934,0.6657
27.9,-0.2705,0.4439,0.6352,0.5057,0.5724,0.539,0.8151,0.7168,0.766,0.6045,0.65,0.6272
28,-0.2665,0.4458,0.6322,0.4854,0.5826,0.534,0.7969,0.7075,0.7522,0.5727,0.6099,0.5913
28.1,-0.2568,0.4457,0.6275,0.4634,0.5859,0.5246,0.7779,0.6957,0.7368,0.5437,0.5739,0.5588
28.2,-0.2431,0.4435,0.6213,0.441,0.582,0.5115,0.7586,0.6815,0.72,0.5186,0.5422,0.5304
28.3,-0.2272,0.4396,0.6139,0.4197,0.5718,0.4957,0.7398,0.6655,0.7026,0.4982,0.5152,0.5067
28.4,-0.2102,0.4353,0.6055,0.4009,0.5565,0.4787,0.7224,0.6487,0.6856,0.4829,0.4932,0.488
28.5,-0.1932,0.4315,0.596,0.3859,0.5378,0.4618,0.707,0.6321,0.6695,0.4722,0.4763,0.4742
28.6,-0.1764,0.4289,0.5855,0.3754,0.517,0.4462,0.6938,0.617,0.6554,0.4656,0.4644,0.465
28.7,-0.16,0.4271,0.5747,0.3692,0.4954,0.4323,0.683,0.6043,0.6437,0.4631,0.4578,0.4604
28.8,-0.1445,0.4262,0.5638,0.3671,0.4742,0.4207,0.6743,0.5946,0.6344,0.4646,0.4563,0.4604
28.9,-0.1311,0.4261,0.5529,0.3691,0.4546,0.4119,0.6668,0.5874,0.6271,0.4696,0.4596,0.4646
29,-0.1206,0.4278,0.5415,0.3756,0.4376,0.4066,0.6594,0.5819,0.6206,0.477,0.4671,0.472
29.1,-0.1136,0.4318,0.5299,0.3867,0.4234,0.405,0.6514,0.5774,0.6144,0.485,0.4772,0.4811
29.2,-0.1098,0.4387,0.5189,0.4017,0.412,0.4069,0.6428,0.5735,0.6081,0.4927,0.4889,0.4908
29.3,-0.1087,0.4479,0.5091,0.42,0.4032,0.4116,0.6336,0.5699,0.6018,0.4994,0.5008,0.5001
29.4,-0.1094,0.4582,0.5014,0.441,0.3966,0.4188,0.6238,0.5669,0.5954,0.505,0.5123,0.5087
29.5,-0.1104,0.4684,0.4963,0.4643,0.3917,0.428,0.6128,0.565,0.5889,0.5093,0.523,0.5162
29.6,-0.1108,0.4777,0.494,0.49,0.3884,0.4392,0.6003,0.5644,0.5823,0.5118,0.5329,0.5224
29.7,-0.11,0.4859,0.4948,0.5178,0.3865,0.4521,0.5861,0.5647,0.5754,0.5123,0.5419,0.5271
29.8,-0.1082,0.4926,0.4982,0.5469,0.3857,0.4663,0.5699,0.565,0.5675,0.511,0.5492,0.5301
29.9,-0.1066,0.4972,0.5029,0.576,0.3855,0.4807,0.5506,0.5639,0.5573,0.5078,0.5534,0.5306
