Time,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1218,0.838,0.9246,0.7166,0.7659,0.7413,0.6465,0.7626,0.7045,0.6688,0.7346,0.7017
0.1,-0.1587,0.8184,0.9162,0.6782,0.7686,0.7234,0.6336,0.7702,0.7019,0.6536,0.7334,0.6935
0.2,-0.1879,0.8018,0.91,0.641,0.7729,0.7069,0.6254,0.777,0.7012,0.6444,0.7389,0.6916
0.3,-0.2087,0.7888,0.9061,0.606,0.7778,0.6919,0.6215,0.782,0.7017,0.6401,0.7489,0.6945
0.4,-0.2215,0.779,0.9046,0.5742,0.7817,0.6779,0.6216,0.7849,0.7032,0.64,0.7622,0.7011
0.5,-0.2271,0.7719,0.9051,0.5461,0.783,0.6645,0.6253,0.7852,0.7052,0.6437,0.7781,0.7109
0.6,-0.2261,0.7672,0.9072,0.5224,0.781,0.6517,0.632,0.7823,0.7072,0.6509,0.7954,0.7232
0.7,-0.2184,0.7643,0.9105,0.5039,0.7755,0.6397,0.6415,0.7757,0.7086,0.6613,0.8121,0.7367
0.8,-0.2047,0.7625,0.9144,0.4908,0.7665,0.6287,0.6534,0.765,0.7092,0.6742,0.826,0.7501
0.9,-0.1865,0.7608,0.9191,0.4832,0.7547,0.619,0.667,0.7501,0.7086,0.6885,0.8351,0.7618
1,-0.1664,0.7585,0.9242,0.4809,0.741,0.611,0.6818,0.7316,0.7067,0.703,0.8385,0.7708
1.1,-0.1464,0.7555,0.9294,0.4838,0.7264,0.6051,0.6964,0.71,0.7032,0.7161,0.8359,0.776
1.2,-0.128,0.7517,0.9339,0.4912,0.7121,0.6017,0.7096,0.6858,0.6977,0.7262,0.8272,0.7767
1.3,-0.1114,0.7471,0.937,0.5022,0.6988,0.6005,0.7208,0.6595,0.6902,0.7327,0.8129,0.7728
1.4,-0.0971,0.7418,0.9386,0.5159,0.6874,0.6017,0.7305,0.6321,0.6813,0.736,0.7941,0.765
1.5,-0.0857,0.7356,0.9388,0.5317,0.6792,0.6055,0.739,0.6051,0.672,0.7375,0.7724,0.755
1.6,-0.0784,0.7285,0.9366,0.5488,0.6745,0.6116,0.7465,0.5791,0.6628,0.7382,0.7487,0.7434
1.7,-0.0762,0.7202,0.9305,0.5662,0.6728,0.6195,0.7523,0.5541,0.6532,0.7378,0.7228,0.7303
1.8,-0.0794,0.7105,0.9193,0.5832,0.6733,0.6283,0.7561,0.5299,0.643,0.7355,0.6946,0.7151
1.9,-0.0877,0.6989,0.9027,0.5992,0.6751,0.6371,0.7579,0.5067,0.6323,0.731,0.6645,0.6978
2,-0.1006,0.685,0.8816,0.6138,0.6772,0.6455,0.7583,0.4851,0.6217,0.7252,0.6342,0.6797
2.1,-0.1175,0.669,0.8573,0.6273,0.6794,0.6534,0.7578,0.4665,0.6121,0.7195,0.6055,0.6625
2.2,-0.1379,0.6516,0.8315,0.6397,0.6817,0.6607,0.7569,0.4524,0.6047,0.7149,0.5797,0.6473
2.3,-0.1613,0.6337,0.8064,0.6509,0.6842,0.6675,0.7555,0.4447,0.6001,0.7112,0.5575,0.6344
2.4,-0.1874,0.6158,0.7839,0.6609,0.687,0.674,0.7535,0.4446,0.599,0.7074,0.5393,0.6234
2.5,-0.2151,0.5981,0.765,0.6697,0.6901,0.6799,0.7504,0.4516,0.601,0.7029,0.5246,0.6138
2.6,-0.242,0.5807,0.7495,0.6775,0.6922,0.6849,0.7461,0.4638,0.6049,0.6973,0.5131,0.6052
2.7,-0.2653,0.5638,0.7366,0.6841,0.6924,0.6882,0.7404,0.4788,0.6096,0.6907,0.5043,0.5975
2.8,-0.283,0.5482,0.7258,0.6891,0.6894,0.6892,0.7333,0.4953,0.6143,0.6835,0.4978,0.5907
2.9,-0.2945,0.5346,0.717,0.6922,0.6828,0.6875,0.7251,0.5124,0.6187,0.6764,0.4938,0.5851
3,-0.2993,0.524,0.7105,0.6934,0.6723,0.6829,0.716,0.5292,0.6226,0.67,0.4924,0.5812
3.1,-0.2967,0.517,0.7064,0.6926,0.658,0.6753,0.7061,0.545,0.6256,0.6648,0.4938,0.5793
3.2,-0.2864,0.5143,0.7054,0.6894,0.6402,0.6648,0.6954,0.5596,0.6275,0.6611,0.4982,0.5797
3.3,-0.268,0.5161,0.7077,0.6833,0.6196,0.6514,0.6842,0.573,0.6286,0.6587,0.5056,0.5822
3.4,-0.2411,0.5233,0.713,0.6739,0.597,0.6355,0.6732,0.5854,0.6293,0.6576,0.5159,0.5867
3.5,-0.2055,0.5353,0.7205,0.6615,0.573,0.6173,0.6634,0.5966,0.63,0.6577,0.5285,0.5931
3.6,-0.1631,0.5498,0.7289,0.6458,0.5469,0.5963,0.655,0.6062,0.6306,0.659,0.5426,0.6008
3.7,-0.1188,0.5634,0.7372,0.6264,0.5185,0.5725,0.6481,0.6136,0.6308,0.6616,0.5575,0.6096
3.8,-0.0778,0.5733,0.7454,0.6038,0.4888,0.5463,0.6426,0.6189,0.6307,0.6661,0.5735,0.6198
3.9,-0.0438,0.5781,0.7537,0.5792,0.4603,0.5197,0.6389,0.6226,0.6307,0.6735,0.5901,0.6318
4,-0.0183,0.5784,0.7618,0.5539,0.4362,0.4951,0.6377,0.625,0.6313,0.6849,0.6063,0.6456
4.1,-0.0022,0.5748,0.769,0.5292,0.4184,0.4738,0.6393,0.6263,0.6328,0.7013,0.6206,0.661
4.2,0.0038,0.5675,0.7741,0.5051,0.4071,0.4561,0.6433,0.6261,0.6347,0.7223,0.6314,0.6768
4.3,-0.0002,0.5568,0.7766,0.4817,0.4016,0.4416,0.649,0.6241,0.6366,0.7469,0.6376,0.6922
4.4,-0.0126,0.543,0.7758,0.4591,0.4006,0.4299,0.6555,0.62,0.6377,0.7742,0.6388,0.7065
4.5,-0.0306,0.5274,0.7712,0.4383,0.4032,0.4207,0.6619,0.6133,0.6376,0.8032,0.6351,0.7192
4.6,-0.0515,0.5112,0.7625,0.4199,0.4085,0.4142,0.6681,0.6036,0.6359,0.8335,0.6269,0.7302
4.7,-0.0734,0.4959,0.7505,0.4045,0.4166,0.4105,0.6736,0.5909,0.6322,0.8648,0.6149,0.7398
4.8,-0.096,0.4826,0.7356,0.3931,0.4278,0.4104,0.6783,0.5751,0.6267,0.8963,0.5997,0.748
4.9,-0.1196,0.4719,0.7181,0.3863,0.4423,0.4143,0.682,0.5568,0.6194,0.9263,0.5817,0.754
5,-0.1442,0.4639,0.6983,0.3841,0.4598,0.4219,0.6846,0.5364,0.6105,0.9529,0.5614,0.7571
5.1,-0.1687,0.4583,0.6772,0.3862,0.4797,0.4329,0.6865,0.5147,0.6006,0.9746,0.5392,0.7569
5.2,-0.1925,0.455,0.6567,0.3921,0.5014,0.4467,0.6876,0.4931,0.5903,0.9915,0.516,0.7538
5.3,-0.2155,0.4538,0.6384,0.4009,0.5246,0.4628,0.687,0.4727,0.5799,1.004,0.493,0.7485
5.4,-0.2383,0.455,0.6222,0.4125,0.5491,0.4808,0.6839,0.4539,0.5689,1.0129,0.471,0.742
5.5,-0.2616,0.4588,0.6081,0.4263,0.5744,0.5003,0.6776,0.4376,0.5576,1.0186,0.4511,0.7348
5.6,-0.2858,0.4653,0.5965,0.4414,0.5997,0.5206,0.6686,0.4251,0.5468,1.0203,0.4346,0.7275
5.7,-0.3105,0.4742,0.5882,0.4568,0.6245,0.5406,0.6576,0.4178,0.5377,1.0173,0.4232,0.7202
5.8,-0.3355,0.4847,0.5829,0.4714,0.6486,0.56,0.6458,0.4162,0.531,1.0094,0.4176,0.7135
5.9,-0.3611,0.4962,0.5794,0.4846,0.6714,0.578,0.6338,0.4203,0.5271,0.997,0.4175,0.7072
6,-0.3871,0.508,0.5761,0.4957,0.6924,0.594,0.6224,0.4299,0.5261,0.9813,0.4221,0.7017
6.1,-0.4127,0.5203,0.5724,0.5042,0.7107,0.6075,0.6125,0.4452,0.5288,0.9636,0.4313,0.6974
6.2,-0.4363,0.533,0.5681,0.5098,0.7258,0.6178,0.6046,0.4668,0.5357,0.9449,0.4448,0.6948
6.3,-0.4554,0.5456,0.5633,0.5124,0.737,0.6247,0.5994,0.4939,0.5467,0.9258,0.4627,0.6942
6.4,-0.4673,0.558,0.5575,0.5124,0.7442,0.6283,0.5969,0.5253,0.5611,0.9065,0.4843,0.6954
6.5,-0.4694,0.57,0.551,0.5107,0.7478,0.6292,0.5972,0.5593,0.5782,0.8874,0.5089,0.6981
6.6,-0.4611,0.5817,0.544,0.5082,0.7485,0.6283,0.6003,0.594,0.5971,0.869,0.5355,0.7023
6.7,-0.4432,0.5931,0.5364,0.5049,0.7461,0.6255,0.6059,0.6272,0.6165,0.8517,0.5624,0.7071
6.8,-0.4174,0.6034,0.5277,0.5003,0.7406,0.6205,0.6133,0.6566,0.635,0.8357,0.5873,0.7115
6.9,-0.3861,0.6116,0.5175,0.4941,0.7325,0.6133,0.621,0.6806,0.6508,0.8206,0.6079,0.7142
7,-0.351,0.617,0.5054,0.486,0.7229,0.6045,0.6275,0.6986,0.663,0.806,0.6233,0.7146
7.1,-0.3128,0.6202,0.4919,0.4766,0.713,0.5948,0.6328,0.711,0.6719,0.7915,0.6341,0.7128
7.2,-0.2709,0.6227,0.4783,0.4668,0.7037,0.5853,0.6375,0.7188,0.6781,0.7776,0.6418,0.7097
7.3,-0.2247,0.6254,0.4659,0.4577,0.6959,0.5768,0.6422,0.7223,0.6823,0.7646,0.6475,0.706
7.4,-0.1742,0.6286,0.4552,0.4501,0.6895,0.5698,0.6471,0.7216,0.6843,0.7529,0.6516,0.7022
7.5,-0.1204,0.6316,0.4461,0.4443,0.6842,0.5643,0.6515,0.7165,0.684,0.7422,0.6545,0.6983
7.6,-0.0639,0.6337,0.4387,0.4405,0.6794,0.56,0.6547,0.7076,0.6812,0.7327,0.6572,0.6949
7.7,-0.0046,0.6344,0.4342,0.4386,0.6743,0.5565,0.6569,0.6963,0.6766,0.7249,0.6611,0.693
7.8,0.0583,0.6336,0.4338,0.4388,0.6686,0.5537,0.6586,0.6843,0.6714,0.7193,0.6677,0.6935
7.9,0.1245,0.6318,0.4389,0.4413,0.6625,0.5519,0.6604,0.6727,0.6666,0.7162,0.6776,0.6969
8,0.1931,0.6297,0.45,0.4465,0.6568,0.5517,0.6629,0.6626,0.6628,0.7155,0.6911,0.7033
8.1,0.2625,0.628,0.4666,0.4551,0.6525,0.5538,0.6664,0.6547,0.6605,0.7174,0.7083,0.7129
8.2,0.3311,0.627,0.4879,0.4675,0.6497,0.5586,0.6713,0.6497,0.6605,0.7226,0.7288,0.7257
8.3,0.3972,0.6263,0.5131,0.4835,0.6485,0.566,0.6783,0.6485,0.6634,0.732,0.7518,0.7419
8.4,0.4592,0.6256,0.5423,0.5021,0.6487,0.5754,0.6874,0.6514,0.6694,0.7465,0.7761,0.7613
8.5,0.5153,0.6243,0.5751,0.5227,0.6501,0.5864,0.6977,0.6582,0.6779,0.766,0.8,0.783
8.6,0.5644,0.622,0.6103,0.5446,0.6521,0.5983,0.7075,0.6678,0.6877,0.7895,0.8219,0.8057
8.7,0.6057,0.6183,0.6459,0.5673,0.6539,0.6106,0.7161,0.6787,0.6974,0.816,0.8407,0.8283
8.8,0.6388,0.6135,0.6799,0.5906,0.6555,0.6231,0.7236,0.6899,0.7067,0.8445,0.8559,0.8502
8.9,0.6631,0.6073,0.711,0.6138,0.6568,0.6353,0.7308,0.7017,0.7163,0.8745,0.8686,0.8715
9,0.6771,0.599,0.7383,0.6354,0.6576,0.6465,0.7383,0.7145,0.7264,0.9053,0.8788,0.8921
9.1,0.6788,0.5881,0.7599,0.6541,0.6589,0.6565,0.7455,0.7275,0.7365,0.936,0.886,0.911
9.2,0.6663,0.5744,0.7732,0.6701,0.6617,0.6659,0.752,0.7394,0.7457,0.9653,0.8888,0.9271
9.3,0.6399,0.5584,0.7759,0.6838,0.6666,0.6752,0.7581,0.7497,0.7539,0.9924,0.8869,0.9396
9.4,0.6016,0.5412,0.7673,0.6957,0.6737,0.6847,0.7649,0.7587,0.7618,1.0168,0.8811,0.9489
9.5,0.5548,0.5238,0.7481,0.706,0.6828,0.6944,0.7732,0.7666,0.7699,1.0385,0.8728,0.9557
9.6,0.5018,0.5069,0.72,0.7145,0.6938,0.7042,0.7825,0.7733,0.7779,1.0575,0.8628,0.9601
9.7,0.4438,0.4908,0.6844,0.7216,0.7076,0.7146,0.7913,0.7779,0.7846,1.0731,0.8511,0.9621
9.8,0.3821,0.4762,0.6428,0.7288,0.7255,0.7271,0.7981,0.7802,0.7891,1.0843,0.8373,0.9608
9.9,0.3173,0.4635,0.5973,0.7367,0.7488,0.7427,0.8022,0.7804,0.7913,1.09,0.8212,0.9556
10,0.2503,0.4526,0.5503,0.7441,0.7775,0.7608,0.8035,0.7786,0.7911,1.09,0.8031,0.9466
10.1,0.1821,0.4424,0.5039,0.7483,0.8104,0.7794,0.8016,0.775,0.7883,1.0854,0.7836,0.9345
10.2,0.1163,0.4318,0.46,0.748,0.8459,0.797,0.7954,0.7698,0.7826,1.077,0.7637,0.9203
10.3,0.058,0.4209,0.4204,0.7436,0.8823,0.813,0.7847,0.7637,0.7742,1.0655,0.7443,0.9049
10.4,0.0113,0.4109,0.3869,0.7363,0.9171,0.8267,0.7708,0.7573,0.764,1.0514,0.7266,0.889
10.5,-0.0221,0.4026,0.3609,0.7268,0.9473,0.8371,0.7553,0.7508,0.7531,1.0355,0.7112,0.8733
10.6,-0.0417,0.3959,0.3423,0.7154,0.9703,0.8429,0.7397,0.7437,0.7417,1.0193,0.6983,0.8588
10.7,-0.0474,0.3902,0.3302,0.7026,0.985,0.8438,0.7239,0.7348,0.7293,1.0047,0.6879,0.8463
10.8,-0.0393,0.3852,0.3234,0.6892,0.9907,0.8399,0.7074,0.7237,0.7156,0.9924,0.6798,0.8361
