Time,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3421,0.6761,0.7088,0.7644,0.4077,0.5861,0.5313,0.5589,0.5451,0.8554,0.7769,0.8161
0.1,-0.3995,0.6601,0.7161,0.7648,0.4452,0.605,0.5547,0.582,0.5684,0.8927,0.8095,0.8511
0.2,-0.4577,0.6403,0.7176,0.7602,0.4902,0.6252,0.5795,0.6023,0.5909,0.93,0.8404,0.8852
0.3,-0.5148,0.6175,0.7145,0.7516,0.5408,0.6462,0.6041,0.6197,0.6119,0.9664,0.8692,0.9178
0.4,-0.5697,0.5936,0.7088,0.7406,0.5957,0.6681,0.6271,0.6349,0.631,1.0011,0.8957,0.9484
0.5,-0.6209,0.57,0.703,0.7286,0.6539,0.6912,0.6477,0.6481,0.6479,1.0337,0.92,0.9769
0.6,-0.666,0.5478,0.6982,0.7163,0.7143,0.7153,0.6653,0.6593,0.6623,1.0638,0.942,1.0029
0.7,-0.7036,0.5268,0.6945,0.7039,0.7748,0.7393,0.6798,0.6684,0.6741,1.0902,0.9613,1.0257
0.8,-0.7342,0.5068,0.6921,0.6913,0.8329,0.7621,0.6913,0.6755,0.6834,1.1109,0.977,1.044
0.9,-0.7587,0.4881,0.6916,0.6786,0.8876,0.7831,0.7002,0.6809,0.6905,1.1245,0.9891,1.0568
1,-0.777,0.472,0.6944,0.6666,0.9384,0.8025,0.7069,0.6856,0.6963,1.131,0.998,1.0645
1.1,-0.7883,0.4605,0.7014,0.6561,0.9851,0.8206,0.7123,0.6909,0.7016,1.131,1.0051,1.068
1.2,-0.7905,0.4546,0.7129,0.6482,1.0268,0.8375,0.7171,0.6978,0.7074,1.1251,1.0112,1.0681
1.3,-0.7817,0.4548,0.7285,0.6437,1.0623,0.853,0.7213,0.7067,0.714,1.1138,1.0162,1.065
1.4,-0.7603,0.4609,0.7475,0.6434,1.0909,0.8671,0.7245,0.7175,0.721,1.0977,1.0198,1.0588
1.5,-0.7251,0.4721,0.7688,0.6473,1.1118,0.8796,0.7261,0.7296,0.7279,1.0772,1.0221,1.0497
1.6,-0.6757,0.4876,0.7914,0.6546,1.125,0.8898,0.7263,0.7426,0.7344,1.0537,1.0235,1.0386
1.7,-0.6136,0.5062,0.8138,0.6642,1.13,0.8971,0.725,0.7561,0.7406,1.0283,1.025,1.0266
1.8,-0.5426,0.527,0.8338,0.6749,1.1269,0.9009,0.7223,0.7699,0.7461,1.0016,1.0266,1.0141
1.9,-0.4669,0.5489,0.8497,0.6862,1.1166,0.9014,0.718,0.783,0.7505,0.974,1.0282,1.0011
2,-0.3888,0.5709,0.8601,0.6979,1.1002,0.8991,0.7127,0.794,0.7533,0.9463,1.0296,0.9879
