Time,MND - Its time to Beanie On 30 TVC,MND - Its time to Beanie On 30 TVC,MND - Its time to Beanie On 30 TVC,MND - Its time to Beanie On 30 TVC,MND - Its time to Beanie On 30 TVC,MND - Its time to Beanie On 30 TVC,MND - Its time to Beanie On 30 TVC,MND - Its time to Beanie On 30 TVC,MND - Its time to Beanie On 30 TVC,MND - Its time to Beanie On 30 TVC,MND - Its time to Beanie On 30 TVC,MND - Its time to Beanie On 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1382,0.7466,0.4999,0.7215,0.7011,0.7113,0.5848,0.6267,0.6057,0.6579,0.6058,0.6318
0.1,-0.1355,0.7402,0.5316,0.7282,0.6961,0.7122,0.6051,0.6411,0.6231,0.6802,0.6068,0.6435
0.2,-0.1261,0.7317,0.5611,0.7333,0.6879,0.7106,0.6245,0.6521,0.6383,0.7015,0.6075,0.6545
0.3,-0.1105,0.7206,0.5868,0.7364,0.6762,0.7063,0.6422,0.6594,0.6508,0.7216,0.6085,0.665
0.4,-0.0897,0.7069,0.6078,0.7375,0.661,0.6992,0.6575,0.6631,0.6603,0.74,0.6099,0.6749
0.5,-0.0647,0.6905,0.6237,0.7365,0.6428,0.6896,0.6702,0.6641,0.6671,0.7566,0.6124,0.6845
0.6,-0.0361,0.6716,0.6351,0.7333,0.6219,0.6776,0.6809,0.6632,0.672,0.7718,0.6159,0.6939
0.7,-0.0049,0.6506,0.6428,0.7278,0.5989,0.6634,0.6904,0.6613,0.6759,0.7858,0.6204,0.7031
0.8,0.0269,0.6279,0.6478,0.7197,0.5743,0.647,0.6994,0.6586,0.679,0.7988,0.6255,0.7122
0.9,0.057,0.6044,0.6508,0.7089,0.5494,0.6291,0.7075,0.6552,0.6814,0.8106,0.6308,0.7207
1,0.0834,0.5808,0.6528,0.6959,0.5257,0.6108,0.7144,0.6515,0.683,0.8209,0.6361,0.7285
1.1,0.1057,0.5582,0.6546,0.6816,0.5048,0.5932,0.7202,0.6484,0.6843,0.8293,0.6411,0.7352
1.2,0.1244,0.5373,0.6567,0.6668,0.4873,0.577,0.7251,0.6466,0.6859,0.8356,0.6457,0.7407
1.3,0.1406,0.5184,0.6597,0.6521,0.4733,0.5627,0.7296,0.6463,0.6879,0.8394,0.6497,0.7445
1.4,0.1552,0.5013,0.6638,0.6373,0.4621,0.5497,0.7333,0.6474,0.6904,0.8402,0.6524,0.7463
1.5,0.1691,0.4854,0.6686,0.6215,0.453,0.5372,0.736,0.6497,0.6928,0.8373,0.6533,0.7453
1.6,0.183,0.4699,0.6739,0.6043,0.4453,0.5248,0.7374,0.6528,0.6951,0.8301,0.6514,0.7407
1.7,0.1964,0.4545,0.6795,0.5857,0.4386,0.5122,0.7375,0.6569,0.6972,0.8183,0.6462,0.7322
1.8,0.2084,0.4394,0.6856,0.5656,0.433,0.4993,0.7364,0.662,0.6992,0.8016,0.6372,0.7194
1.9,0.218,0.4247,0.6925,0.5437,0.4282,0.4859,0.7341,0.6679,0.701,0.7798,0.6245,0.7021
2,0.2245,0.4107,0.7002,0.5197,0.4236,0.4716,0.7308,0.6745,0.7027,0.7528,0.6081,0.6805
2.1,0.2279,0.3977,0.7085,0.4936,0.4187,0.4561,0.7267,0.681,0.7039,0.7205,0.5888,0.6547
