Time,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
18.6,-0.1215,0.4948,0.2842,0.2123,0.621,0.4167,0.413,0.4687,0.4408,0.5183,0.512,0.5152
18.7,-0.1561,0.4874,0.2608,0.188,0.6173,0.4027,0.4069,0.4692,0.4381,0.5153,0.5079,0.5116
18.8,-0.187,0.4808,0.239,0.1659,0.6136,0.3898,0.4006,0.4703,0.4355,0.5133,0.505,0.5092
18.9,-0.2138,0.4748,0.2188,0.1457,0.6096,0.3776,0.394,0.4716,0.4328,0.5125,0.5034,0.508
19,-0.2365,0.4695,0.2003,0.1267,0.6053,0.366,0.3876,0.4731,0.4304,0.5131,0.5031,0.5081
19.1,-0.2552,0.4654,0.1841,0.1093,0.6011,0.3552,0.3825,0.4748,0.4287,0.5157,0.5045,0.5101
19.2,-0.2698,0.4628,0.1714,0.0941,0.5976,0.3458,0.3796,0.4774,0.4285,0.5206,0.5083,0.5145
19.3,-0.28,0.4623,0.1631,0.0818,0.5947,0.3382,0.3787,0.4811,0.4299,0.5277,0.5153,0.5215
19.4,-0.2865,0.4636,0.1597,0.0727,0.5924,0.3326,0.3793,0.4855,0.4324,0.5361,0.5252,0.5307
19.5,-0.2901,0.4665,0.1609,0.0669,0.5911,0.329,0.3808,0.4904,0.4356,0.5448,0.5374,0.5411
19.6,-0.2912,0.4713,0.1666,0.065,0.5909,0.328,0.3832,0.4956,0.4394,0.5535,0.5508,0.5522
19.7,-0.2889,0.4778,0.1762,0.0682,0.5914,0.3298,0.3874,0.5014,0.4444,0.5625,0.5652,0.5638
19.8,-0.2819,0.4861,0.1894,0.0772,0.5919,0.3346,0.3935,0.5079,0.4507,0.5716,0.5806,0.5761
19.9,-0.27,0.4958,0.2055,0.0922,0.592,0.3421,0.4016,0.5149,0.4582,0.5807,0.5972,0.589
20,-0.2555,0.5065,0.2237,0.1123,0.5916,0.352,0.4113,0.5223,0.4668,0.5894,0.6151,0.6023
20.1,-0.2415,0.518,0.2441,0.1363,0.5913,0.3638,0.4219,0.5298,0.4758,0.5975,0.6343,0.6159
20.2,-0.2311,0.5303,0.267,0.163,0.5921,0.3775,0.4329,0.5373,0.4851,0.6053,0.6545,0.6299
20.3,-0.2259,0.5433,0.2925,0.192,0.5948,0.3934,0.4445,0.545,0.4947,0.6132,0.6755,0.6444
20.4,-0.2264,0.5566,0.3207,0.2231,0.5998,0.4115,0.4572,0.5529,0.505,0.6214,0.6969,0.6591
20.5,-0.2325,0.5697,0.3515,0.2563,0.6074,0.4318,0.4717,0.5612,0.5165,0.6295,0.7176,0.6735
20.6,-0.244,0.5819,0.385,0.2906,0.6176,0.4541,0.4883,0.5701,0.5292,0.6365,0.7367,0.6866
20.7,-0.2597,0.5924,0.4203,0.3252,0.6304,0.4778,0.5062,0.5789,0.5426,0.6413,0.753,0.6971
20.8,-0.2774,0.6003,0.4563,0.3591,0.6455,0.5023,0.5238,0.5866,0.5552,0.643,0.7655,0.7042
20.9,-0.2947,0.6049,0.4911,0.3915,0.6619,0.5267,0.5395,0.5918,0.5656,0.6409,0.7732,0.7071
21,-0.3103,0.6058,0.5231,0.4219,0.6785,0.5502,0.5526,0.5935,0.573,0.6349,0.7759,0.7054
21.1,-0.3238,0.6025,0.5515,0.4491,0.6941,0.5716,0.5633,0.5911,0.5772,0.6248,0.7737,0.6993
21.2,-0.3357,0.5953,0.5757,0.4721,0.7077,0.5899,0.572,0.5847,0.5783,0.611,0.767,0.689
21.3,-0.3463,0.5846,0.5957,0.4902,0.7189,0.6045,0.579,0.5744,0.5767,0.5937,0.7563,0.675
21.4,-0.3551,0.5712,0.6115,0.5028,0.7275,0.6152,0.584,0.5612,0.5726,0.5734,0.7422,0.6578
21.5,-0.3615,0.5561,0.6232,0.51,0.7335,0.6218,0.5868,0.5465,0.5667,0.5511,0.725,0.6381
21.6,-0.3654,0.5402,0.6311,0.5115,0.7369,0.6242,0.5876,0.5319,0.5598,0.5281,0.7055,0.6168
21.7,-0.3658,0.5243,0.6355,0.5079,0.7375,0.6227,0.5874,0.5187,0.5531,0.5062,0.6844,0.5953
21.8,-0.3613,0.509,0.6369,0.5004,0.7352,0.6178,0.5875,0.5078,0.5476,0.4865,0.6626,0.5746
21.9,-0.3509,0.495,0.6365,0.4907,0.7303,0.6105,0.5891,0.4997,0.5444,0.47,0.6412,0.5556
22,-0.3339,0.4828,0.6354,0.4804,0.7234,0.6019,0.5931,0.4951,0.5441,0.4572,0.6209,0.539
22.1,-0.3105,0.4733,0.6348,0.4702,0.7156,0.5929,0.6,0.4941,0.5471,0.4482,0.6024,0.5253
22.2,-0.2815,0.4671,0.6351,0.46,0.7074,0.5837,0.6099,0.497,0.5535,0.4432,0.5866,0.5149
22.3,-0.2481,0.4643,0.6362,0.4497,0.6985,0.5741,0.6229,0.5035,0.5632,0.4424,0.5739,0.5082
22.4,-0.2116,0.4645,0.6379,0.4396,0.6882,0.5639,0.6386,0.5132,0.5759,0.4461,0.5648,0.5054
22.5,-0.1732,0.4671,0.6398,0.4306,0.6761,0.5533,0.6567,0.5257,0.5912,0.454,0.5593,0.5066
22.6,-0.1337,0.4715,0.6416,0.4234,0.6624,0.5429,0.6763,0.5406,0.6084,0.4656,0.5574,0.5115
22.7,-0.094,0.4776,0.643,0.4186,0.6481,0.5334,0.6967,0.5574,0.6271,0.4802,0.5594,0.5198
22.8,-0.055,0.4853,0.6437,0.4162,0.6341,0.5252,0.7174,0.5759,0.6467,0.4974,0.5654,0.5314
22.9,-0.0166,0.4949,0.644,0.4164,0.6208,0.5186,0.7383,0.5959,0.6671,0.5173,0.5761,0.5467
23,0.0217,0.5065,0.6449,0.4197,0.6082,0.5139,0.7592,0.6174,0.6883,0.54,0.5917,0.5658
23.1,0.06,0.5198,0.647,0.4264,0.5965,0.5114,0.7797,0.64,0.7099,0.5649,0.6119,0.5884
23.2,0.0966,0.5347,0.6503,0.4366,0.5868,0.5117,0.7993,0.6632,0.7312,0.5913,0.6355,0.6134
23.3,0.1282,0.5513,0.6544,0.4503,0.5796,0.5149,0.8171,0.6859,0.7515,0.618,0.6607,0.6393
23.4,0.1523,0.5697,0.659,0.4672,0.5752,0.5212,0.8321,0.707,0.7696,0.6442,0.6858,0.665
23.5,0.168,0.5897,0.664,0.487,0.5733,0.5302,0.8435,0.7254,0.7844,0.6693,0.7095,0.6894
23.6,0.1765,0.6104,0.669,0.5095,0.5737,0.5416,0.8501,0.74,0.7951,0.6922,0.7304,0.7113
23.7,0.1797,0.6306,0.6731,0.534,0.5758,0.5549,0.8513,0.7499,0.8006,0.7117,0.7473,0.7295
23.8,0.1792,0.6489,0.6751,0.5592,0.5788,0.569,0.8466,0.7542,0.8004,0.7264,0.7592,0.7428
23.9,0.1756,0.6643,0.6742,0.5836,0.5823,0.583,0.8358,0.7521,0.7939,0.7354,0.7655,0.7505
24,0.1689,0.6763,0.6698,0.6058,0.5859,0.5958,0.8187,0.7434,0.781,0.738,0.7659,0.7519
24.1,0.1593,0.6838,0.6617,0.6244,0.5896,0.607,0.7956,0.7279,0.7617,0.7336,0.7605,0.7471
24.2,0.147,0.686,0.65,0.6388,0.593,0.6159,0.7668,0.706,0.7364,0.7223,0.75,0.7362
24.3,0.1316,0.6819,0.635,0.6483,0.5959,0.6221,0.7337,0.6783,0.706,0.7046,0.7354,0.72
24.4,0.1128,0.6719,0.6171,0.6528,0.5982,0.6255,0.6978,0.6457,0.6717,0.6819,0.7178,0.6998
24.5,0.0906,0.6568,0.5972,0.652,0.5998,0.6259,0.6607,0.6096,0.6351,0.656,0.6981,0.6771
24.6,0.0657,0.6377,0.5761,0.6461,0.6012,0.6237,0.6238,0.5714,0.5976,0.6288,0.6771,0.653
24.7,0.0387,0.6153,0.5546,0.6354,0.6025,0.6189,0.5879,0.533,0.5604,0.6018,0.6554,0.6286
24.8,0.0105,0.5904,0.5332,0.6202,0.6039,0.612,0.5537,0.496,0.5249,0.5762,0.634,0.6051
24.9,-0.0183,0.5643,0.5126,0.6015,0.6054,0.6035,0.5226,0.4617,0.4922,0.5532,0.6142,0.5837
25,-0.0469,0.5387,0.4931,0.5807,0.6069,0.5938,0.4958,0.431,0.4634,0.534,0.5971,0.5656
25.1,-0.0743,0.5147,0.4749,0.5588,0.6076,0.5832,0.4746,0.4041,0.4394,0.5194,0.583,0.5512
25.2,-0.1002,0.4932,0.458,0.5359,0.607,0.5715,0.4593,0.3811,0.4202,0.5093,0.5721,0.5407
25.3,-0.1253,0.4746,0.4422,0.5116,0.6046,0.5581,0.4497,0.3619,0.4058,0.5037,0.5643,0.534
25.4,-0.1505,0.4595,0.4274,0.4853,0.6004,0.5428,0.4453,0.3463,0.3958,0.5019,0.5594,0.5307
25.5,-0.1768,0.4482,0.4137,0.4572,0.5945,0.5258,0.4456,0.3342,0.3899,0.5036,0.5572,0.5304
25.6,-0.2048,0.4405,0.4013,0.4282,0.5867,0.5075,0.4506,0.3252,0.3879,0.5083,0.557,0.5327
25.7,-0.2345,0.436,0.3904,0.3992,0.5772,0.4882,0.4599,0.3188,0.3893,0.5157,0.5583,0.537
25.8,-0.2651,0.4343,0.3809,0.3705,0.5661,0.4683,0.473,0.3145,0.3937,0.5251,0.5605,0.5428
25.9,-0.2951,0.4354,0.3732,0.3427,0.5539,0.4483,0.489,0.3124,0.4007,0.5357,0.5638,0.5497
26,-0.323,0.4396,0.3681,0.3168,0.5411,0.429,0.5073,0.3127,0.41,0.5469,0.5687,0.5578
26.1,-0.3471,0.4473,0.3662,0.2939,0.5281,0.411,0.5273,0.3156,0.4215,0.5585,0.5755,0.567
26.2,-0.3654,0.4583,0.3679,0.2751,0.5146,0.3948,0.5484,0.3214,0.4349,0.5709,0.5842,0.5775
26.3,-0.3758,0.4722,0.3733,0.2614,0.5011,0.3812,0.5699,0.3302,0.45,0.584,0.5941,0.5891
26.4,-0.3768,0.4882,0.3821,0.2534,0.4884,0.3709,0.5909,0.3419,0.4664,0.5975,0.6047,0.6011
26.5,-0.368,0.5062,0.3941,0.2517,0.4776,0.3647,0.6107,0.3561,0.4834,0.6107,0.6154,0.6131
26.6,-0.3499,0.5262,0.4089,0.2565,0.4694,0.363,0.6281,0.3722,0.5002,0.6229,0.6258,0.6244
26.7,-0.323,0.5477,0.4261,0.2676,0.4636,0.3656,0.6426,0.3894,0.516,0.6338,0.6356,0.6347
26.8,-0.2873,0.57,0.4449,0.2836,0.4595,0.3715,0.6533,0.4069,0.5301,0.6432,0.6446,0.6439
26.9,-0.2445,0.5916,0.4644,0.3027,0.457,0.3799,0.6602,0.4241,0.5421,0.6509,0.6528,0.6519
27,-0.1977,0.6112,0.4837,0.3234,0.4564,0.3899,0.6635,0.4403,0.5519,0.6565,0.6601,0.6583
27.1,-0.1505,0.6282,0.5019,0.3446,0.458,0.4013,0.6639,0.4551,0.5595,0.6595,0.666,0.6627
27.2,-0.1058,0.6426,0.5185,0.3658,0.4614,0.4136,0.6618,0.4681,0.565,0.66,0.6702,0.6651
27.3,-0.0654,0.6546,0.533,0.3865,0.4656,0.4261,0.6579,0.479,0.5685,0.6589,0.6724,0.6656
27.4,-0.0297,0.6639,0.5448,0.4064,0.4702,0.4383,0.6524,0.4879,0.5702,0.6567,0.6728,0.6648
27.5,0.0011,0.6707,0.5535,0.426,0.4749,0.4505,0.6459,0.4948,0.5703,0.6543,0.6714,0.6628
27.6,0.0266,0.6754,0.5592,0.4458,0.4805,0.4632,0.6389,0.5004,0.5697,0.6519,0.6685,0.6602
27.7,0.0463,0.6789,0.5621,0.4664,0.4876,0.477,0.6326,0.5053,0.569,0.6503,0.6642,0.6573
27.8,0.06,0.6813,0.5626,0.4871,0.496,0.4915,0.6276,0.5102,0.5689,0.6506,0.6586,0.6546
27.9,0.068,0.6822,0.5609,0.5066,0.5047,0.5057,0.6239,0.5153,0.5696,0.6534,0.6518,0.6526
28,0.0713,0.6812,0.5571,0.5238,0.5127,0.5182,0.6217,0.5208,0.5712,0.6591,0.6439,0.6515
28.1,0.071,0.6781,0.5516,0.538,0.5194,0.5287,0.6215,0.5267,0.5741,0.6678,0.6352,0.6515
28.2,0.0687,0.6737,0.5449,0.5497,0.5251,0.5374,0.6242,0.5334,0.5788,0.6794,0.626,0.6527
28.3,0.0657,0.6684,0.5377,0.559,0.53,0.5445,0.6303,0.5407,0.5855,0.694,0.617,0.6555
28.4,0.0638,0.6628,0.5308,0.5662,0.5344,0.5503,0.6398,0.549,0.5944,0.7117,0.6083,0.66
28.5,0.064,0.6568,0.5249,0.571,0.5385,0.5548,0.6518,0.5582,0.605,0.7319,0.6005,0.6662
28.6,0.0663,0.651,0.5204,0.5737,0.5429,0.5583,0.6652,0.5684,0.6168,0.7538,0.5939,0.6738
28.7,0.0698,0.6459,0.5176,0.5749,0.5483,0.5616,0.6791,0.5794,0.6293,0.7762,0.5884,0.6823
28.8,0.0741,0.6419,0.5162,0.5751,0.5552,0.5651,0.6931,0.5909,0.642,0.7982,0.5841,0.6911
28.9,0.0787,0.6387,0.5156,0.5742,0.563,0.5686,0.7064,0.6018,0.6541,0.8188,0.5805,0.6996
29,0.084,0.6352,0.5154,0.5716,0.5705,0.5711,0.718,0.6116,0.6648,0.8373,0.5776,0.7074
29.1,0.09,0.631,0.5154,0.5666,0.5767,0.5717,0.7273,0.6201,0.6737,0.8534,0.5757,0.7145
29.2,0.0964,0.6262,0.5157,0.5595,0.5813,0.5704,0.7343,0.6273,0.6808,0.8671,0.5756,0.7214
29.3,0.1023,0.6214,0.5168,0.5508,0.5844,0.5676,0.7391,0.6337,0.6864,0.8789,0.5779,0.7284
29.4,0.1061,0.6169,0.5189,0.5411,0.5869,0.564,0.7418,0.6396,0.6907,0.8889,0.5829,0.7359
29.5,0.1056,0.6121,0.5217,0.5301,0.5891,0.5596,0.7418,0.6449,0.6934,0.897,0.5899,0.7435
29.6,0.099,0.6054,0.525,0.5177,0.5907,0.5542,0.7383,0.6491,0.6937,0.9026,0.5986,0.7506
29.7,0.0853,0.5959,0.5284,0.5038,0.5915,0.5477,0.7309,0.6516,0.6912,0.9052,0.608,0.7566
29.8,0.0642,0.5836,0.5318,0.4891,0.5906,0.5399,0.7191,0.6519,0.6855,0.9043,0.6176,0.7609
29.9,0.0363,0.569,0.5351,0.4744,0.5872,0.5308,0.7032,0.6497,0.6764,0.8999,0.6264,0.7632
