Time,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.4,0.2562,0.6275,0.4004,0.6134,0.5864,0.5999,0.5566,0.6373,0.597,0.4762,0.545,0.5106
4.5,0.2728,0.627,0.4126,0.6117,0.5938,0.6027,0.5875,0.6448,0.6161,0.4819,0.561,0.5215
4.6,0.2843,0.628,0.4246,0.6108,0.6005,0.6057,0.6182,0.6523,0.6353,0.4897,0.5767,0.5332
4.7,0.2898,0.6302,0.4364,0.6105,0.606,0.6082,0.6474,0.6595,0.6534,0.4989,0.5917,0.5453
4.8,0.2889,0.6334,0.448,0.6105,0.61,0.6103,0.6743,0.6661,0.6702,0.5096,0.6059,0.5577
4.9,0.2821,0.6372,0.459,0.6109,0.6127,0.6118,0.6988,0.6722,0.6855,0.5222,0.6194,0.5708
5,0.2707,0.6413,0.4692,0.6109,0.6138,0.6124,0.7206,0.6776,0.6991,0.5368,0.6322,0.5845
5.1,0.2561,0.645,0.4783,0.6099,0.6126,0.6112,0.7391,0.6823,0.7107,0.5526,0.644,0.5983
5.2,0.2391,0.6475,0.4866,0.6071,0.6082,0.6076,0.7536,0.6857,0.7197,0.5685,0.6546,0.6115
5.3,0.2204,0.6485,0.4944,0.6025,0.6001,0.6013,0.7634,0.6875,0.7255,0.5836,0.6638,0.6237
5.4,0.2005,0.6481,0.502,0.597,0.5885,0.5927,0.7687,0.6871,0.7279,0.5977,0.6715,0.6346
5.5,0.1794,0.6466,0.5095,0.591,0.5741,0.5825,0.7699,0.6845,0.7272,0.6106,0.6777,0.6441
5.6,0.1571,0.644,0.5169,0.5848,0.5579,0.5714,0.7673,0.6797,0.7235,0.622,0.6819,0.652
5.7,0.1328,0.64,0.5239,0.5787,0.5406,0.5597,0.7612,0.6731,0.7171,0.6313,0.6841,0.6577
5.8,0.106,0.634,0.5303,0.5729,0.5228,0.5478,0.7517,0.6649,0.7083,0.6378,0.6842,0.661
5.9,0.0762,0.6259,0.5358,0.5677,0.505,0.5364,0.7394,0.6554,0.6974,0.6416,0.6825,0.662
6,0.0436,0.6162,0.5403,0.564,0.4883,0.5262,0.7249,0.645,0.6849,0.6425,0.6791,0.6608
6.1,0.0089,0.6057,0.5438,0.5622,0.4735,0.5178,0.7086,0.6338,0.6712,0.6405,0.6738,0.6572
