Time,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.4,0.0874,0.9006,0.5912,0.8897,0.8049,0.8473,0.7566,0.7186,0.7376,0.5185,0.6384,0.5785
4.5,0.0972,0.9329,0.6138,0.9059,0.8606,0.8832,0.7872,0.7522,0.7697,0.5266,0.6487,0.5876
4.6,0.1026,0.9678,0.6371,0.9243,0.9208,0.9225,0.8179,0.7867,0.8023,0.5367,0.6581,0.5974
4.7,0.1032,1.0034,0.6594,0.9447,0.9818,0.9632,0.8475,0.8194,0.8335,0.548,0.6664,0.6072
4.8,0.0982,1.0371,0.6791,0.9663,1.0395,1.0029,0.8749,0.8477,0.8613,0.5599,0.6727,0.6163
4.9,0.0868,1.0661,0.6952,0.988,1.0912,1.0396,0.8994,0.8699,0.8847,0.5718,0.6761,0.6239
5,0.069,1.0877,0.7069,1.008,1.1351,1.0716,0.9209,0.8859,0.9034,0.5829,0.6762,0.6296
5.1,0.0452,1.1004,0.7139,1.0246,1.1697,1.0971,0.9395,0.8956,0.9175,0.5925,0.6732,0.6328
5.2,0.0148,1.1032,0.7162,1.0359,1.1934,1.1147,0.9549,0.8985,0.9267,0.6004,0.6667,0.6335
5.3,-0.0245,1.0956,0.7145,1.04,1.2063,1.1232,0.9659,0.8947,0.9303,0.6068,0.6564,0.6316
5.4,-0.0734,1.0782,0.7099,1.0364,1.2099,1.1231,0.9715,0.8848,0.9281,0.6122,0.643,0.6276
5.5,-0.13,1.0527,0.7035,1.026,1.2062,1.1161,0.9714,0.8704,0.9209,0.6166,0.6274,0.622
5.6,-0.1903,1.0211,0.6962,1.0103,1.1968,1.1036,0.9661,0.853,0.9095,0.6199,0.6113,0.6156
5.7,-0.2499,0.9855,0.6882,0.9904,1.1822,1.0863,0.956,0.8333,0.8947,0.6218,0.5949,0.6084
5.8,-0.3046,0.9477,0.6799,0.9666,1.1627,1.0647,0.9417,0.8113,0.8765,0.6223,0.5785,0.6004
5.9,-0.3509,0.9104,0.6713,0.9397,1.1392,1.0395,0.9239,0.7873,0.8556,0.6218,0.5622,0.592
6,-0.3861,0.8754,0.6627,0.9109,1.1132,1.0121,0.9038,0.7623,0.8331,0.6209,0.5465,0.5837
6.1,-0.4081,0.8442,0.6545,0.8825,1.0861,0.9843,0.8831,0.7378,0.8104,0.6198,0.5325,0.5762
6.2,-0.416,0.8173,0.6472,0.8569,1.0587,0.9578,0.8629,0.7146,0.7887,0.6193,0.5212,0.5703
6.3,-0.4107,0.7948,0.6409,0.8363,1.0314,0.9339,0.8443,0.6935,0.7689,0.6202,0.5133,0.5667
6.4,-0.3946,0.7767,0.6356,0.8211,1.0046,0.9128,0.8275,0.6749,0.7512,0.623,0.509,0.566
6.5,-0.3707,0.7624,0.6312,0.8102,0.9776,0.8939,0.8119,0.6586,0.7352,0.6278,0.508,0.5679
6.6,-0.3415,0.7513,0.6275,0.8022,0.9502,0.8762,0.7973,0.6446,0.7209,0.6342,0.5099,0.572
