Time,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.447,0.8321,0.5082,0.6872,1.0158,0.8515,0.6656,0.8189,0.7423,0.592,0.663,0.6275
0.1,-0.4482,0.8451,0.5111,0.6795,1.0117,0.8456,0.6816,0.8231,0.7524,0.5999,0.674,0.6369
0.2,-0.4452,0.8569,0.5144,0.6701,1.0035,0.8368,0.6954,0.8261,0.7608,0.6083,0.6841,0.6462
0.3,-0.4366,0.8673,0.5186,0.6591,0.9901,0.8246,0.7071,0.8281,0.7676,0.6176,0.694,0.6558
0.4,-0.4208,0.8758,0.5238,0.6474,0.9702,0.8088,0.7175,0.8291,0.7733,0.6277,0.7035,0.6656
0.5,-0.3954,0.8819,0.5299,0.6362,0.9433,0.7898,0.7267,0.8291,0.7779,0.6379,0.7121,0.675
0.6,-0.3587,0.8853,0.5366,0.627,0.9091,0.7681,0.7349,0.8284,0.7816,0.6479,0.7196,0.6837
0.7,-0.3098,0.8857,0.5439,0.6201,0.8687,0.7444,0.7417,0.8268,0.7843,0.6573,0.7258,0.6915
0.8,-0.2494,0.8822,0.5521,0.6154,0.8241,0.7197,0.7471,0.8242,0.7857,0.666,0.7307,0.6984
0.9,-0.1795,0.8743,0.5609,0.6127,0.7776,0.6951,0.7512,0.8204,0.7858,0.6739,0.7343,0.7041
1,-0.1027,0.8618,0.5701,0.6122,0.7315,0.6718,0.7541,0.8153,0.7847,0.6804,0.7365,0.7085
1.1,-0.0218,0.8459,0.5795,0.6146,0.6879,0.6513,0.7562,0.8087,0.7824,0.6853,0.7374,0.7114
1.2,0.0618,0.8278,0.5889,0.6206,0.6483,0.6344,0.7577,0.801,0.7794,0.6886,0.7371,0.7129
1.3,0.1466,0.8087,0.5977,0.63,0.613,0.6215,0.7587,0.7923,0.7755,0.6905,0.7353,0.7129
1.4,0.231,0.7894,0.6055,0.6419,0.5816,0.6118,0.7591,0.7824,0.7708,0.6908,0.7314,0.7111
1.5,0.3131,0.7704,0.6118,0.6549,0.5536,0.6042,0.7589,0.771,0.765,0.6892,0.7249,0.7071
1.6,0.3898,0.752,0.6158,0.6678,0.5286,0.5982,0.7579,0.7581,0.758,0.6859,0.716,0.7009
1.7,0.4577,0.7345,0.6174,0.6792,0.5066,0.5929,0.756,0.7437,0.7498,0.6811,0.705,0.693
1.8,0.5139,0.7183,0.6162,0.6883,0.4878,0.588,0.7528,0.728,0.7404,0.6751,0.6925,0.6838
1.9,0.5571,0.7033,0.6124,0.6946,0.472,0.5833,0.748,0.7106,0.7293,0.6678,0.6786,0.6732
2,0.5878,0.6898,0.6059,0.6981,0.4593,0.5787,0.7415,0.6914,0.7164,0.6589,0.6633,0.6611
2.1,0.6075,0.6777,0.5969,0.6986,0.4491,0.5738,0.7332,0.6706,0.7019,0.6485,0.6468,0.6476
2.2,0.618,0.667,0.5858,0.6959,0.4403,0.5681,0.7234,0.6485,0.686,0.6368,0.6297,0.6332
2.3,0.6201,0.658,0.5729,0.6898,0.4326,0.5612,0.7123,0.6256,0.669,0.6245,0.6125,0.6185
2.4,0.6136,0.6507,0.5585,0.6802,0.426,0.5531,0.6999,0.6024,0.6512,0.612,0.596,0.604
2.5,0.5984,0.6456,0.5429,0.6674,0.4211,0.5442,0.6866,0.5792,0.6329,0.5998,0.5804,0.5901
2.6,0.5757,0.6431,0.5263,0.652,0.4179,0.5349,0.6725,0.5563,0.6144,0.5882,0.5661,0.5771
2.7,0.5474,0.6434,0.5087,0.6348,0.416,0.5254,0.6574,0.5338,0.5956,0.5775,0.5531,0.5653
2.8,0.5159,0.6463,0.4898,0.6162,0.4141,0.5151,0.6411,0.5119,0.5765,0.5677,0.5413,0.5545
2.9,0.4828,0.6512,0.4693,0.5963,0.4113,0.5038,0.6227,0.4905,0.5566,0.5589,0.53,0.5445
3,0.4489,0.6574,0.4474,0.5753,0.4082,0.4918,0.6019,0.4698,0.5358,0.5506,0.5184,0.5345
3.1,0.4144,0.6647,0.4247,0.554,0.4056,0.4798,0.5788,0.4499,0.5144,0.5423,0.5059,0.5241
3.2,0.3801,0.673,0.4022,0.5333,0.4044,0.4689,0.5537,0.4314,0.4926,0.534,0.4927,0.5134
3.3,0.3475,0.6817,0.3802,0.5144,0.4047,0.4596,0.5272,0.4145,0.4709,0.5259,0.4795,0.5027
3.4,0.3189,0.69,0.3588,0.4981,0.4058,0.4519,0.5,0.3995,0.4498,0.5185,0.4668,0.4927
3.5,0.2958,0.6972,0.3379,0.4847,0.4065,0.4456,0.4728,0.3862,0.4295,0.512,0.4554,0.4837
3.6,0.2793,0.7024,0.3175,0.4741,0.4067,0.4404,0.4464,0.3746,0.4105,0.5067,0.4454,0.476
3.7,0.2704,0.7049,0.298,0.4665,0.4065,0.4365,0.4215,0.3647,0.3931,0.5027,0.4369,0.4698
3.8,0.2701,0.7047,0.2795,0.4618,0.4071,0.4344,0.3988,0.3567,0.3778,0.5001,0.4299,0.465
3.9,0.2782,0.7022,0.2628,0.4598,0.4096,0.4347,0.3788,0.351,0.3649,0.4992,0.4245,0.4619
4,0.2928,0.6975,0.2489,0.4603,0.4144,0.4374,0.3616,0.3477,0.3547,0.5004,0.4211,0.4607
4.1,0.3112,0.6906,0.2388,0.4629,0.4216,0.4422,0.3479,0.347,0.3475,0.5036,0.42,0.4618
4.2,0.3312,0.6812,0.2326,0.467,0.4303,0.4486,0.3379,0.3489,0.3434,0.5091,0.4212,0.4651
4.3,0.3521,0.6699,0.2301,0.4727,0.4397,0.4562,0.3322,0.3533,0.3427,0.5167,0.4245,0.4706
4.4,0.3745,0.6576,0.2308,0.4802,0.4492,0.4647,0.3312,0.3599,0.3455,0.5262,0.4298,0.478
