Time,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.4,-0.2573,0.5701,0.4825,0.298,0.6625,0.4803,0.6296,0.6339,0.6318,0.6128,0.587,0.5999
4.5,-0.2315,0.5878,0.4745,0.3018,0.6394,0.4706,0.6294,0.6225,0.6259,0.5907,0.5753,0.583
4.6,-0.204,0.5996,0.464,0.3042,0.6108,0.4575,0.6299,0.6106,0.6203,0.5681,0.5643,0.5662
4.7,-0.1753,0.6067,0.452,0.3065,0.5784,0.4424,0.6321,0.599,0.6156,0.5461,0.5542,0.5502
4.8,-0.1452,0.6107,0.4395,0.3095,0.5441,0.4268,0.6357,0.5886,0.6122,0.5257,0.5453,0.5355
4.9,-0.1133,0.6132,0.4281,0.3138,0.5097,0.4118,0.6401,0.5805,0.6103,0.5078,0.5387,0.5232
5,-0.0792,0.6152,0.4186,0.3192,0.4763,0.3978,0.6443,0.5752,0.6098,0.4931,0.5351,0.5141
5.1,-0.0434,0.6171,0.4111,0.3256,0.4445,0.3851,0.6482,0.5727,0.6104,0.4821,0.5351,0.5086
5.2,-0.0073,0.6188,0.405,0.3332,0.4148,0.374,0.6522,0.5723,0.6122,0.4745,0.5386,0.5065
5.3,0.027,0.6198,0.3994,0.3423,0.3875,0.3649,0.6565,0.5738,0.6152,0.4696,0.5449,0.5072
5.4,0.0579,0.6197,0.3945,0.3531,0.3638,0.3585,0.6611,0.5777,0.6194,0.4665,0.5535,0.51
5.5,0.0841,0.6183,0.3909,0.3657,0.3451,0.3554,0.6652,0.5848,0.625,0.4652,0.5638,0.5145
5.6,0.1054,0.6158,0.3895,0.3792,0.3318,0.3555,0.6678,0.5955,0.6317,0.4656,0.5755,0.5205
5.7,0.123,0.6122,0.3907,0.3927,0.3234,0.358,0.6687,0.6088,0.6387,0.4677,0.5881,0.5279
5.8,0.1383,0.6079,0.3941,0.4061,0.3194,0.3628,0.6678,0.6232,0.6455,0.4718,0.6009,0.5364
5.9,0.1524,0.603,0.3992,0.4197,0.3195,0.3696,0.6657,0.6373,0.6515,0.4779,0.6128,0.5454
6,0.1648,0.5971,0.4059,0.4335,0.3233,0.3784,0.6622,0.6508,0.6565,0.4863,0.623,0.5547
6.1,0.1743,0.5899,0.414,0.4468,0.3301,0.3885,0.6573,0.6635,0.6604,0.4968,0.6311,0.5639
6.2,0.1799,0.5809,0.4228,0.4589,0.3388,0.3989,0.6505,0.6751,0.6628,0.509,0.6367,0.5729
6.3,0.1816,0.5697,0.4312,0.4688,0.3482,0.4085,0.6415,0.6852,0.6634,0.5221,0.6394,0.5807
6.4,0.1801,0.5561,0.4383,0.4759,0.3574,0.4167,0.6306,0.6933,0.6619,0.535,0.639,0.587
6.5,0.1757,0.5401,0.4438,0.4803,0.3659,0.4231,0.618,0.6992,0.6586,0.5472,0.6359,0.5915
