Time,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0841,0.6468,0.722,0.5878,0.6293,0.6085,0.4727,0.6008,0.5367,0.6098,0.5634,0.5866
0.1,-0.103,0.6376,0.6993,0.5718,0.6116,0.5917,0.4637,0.5832,0.5234,0.5986,0.5408,0.5697
0.2,-0.1185,0.6309,0.6754,0.5592,0.5961,0.5776,0.4563,0.5673,0.5118,0.5855,0.517,0.5512
0.3,-0.1313,0.6272,0.6511,0.5504,0.5834,0.5669,0.4506,0.5535,0.5021,0.5714,0.4933,0.5323
0.4,-0.1419,0.6266,0.6267,0.5459,0.5738,0.5599,0.4469,0.5424,0.4946,0.557,0.471,0.514
0.5,-0.1505,0.6287,0.6025,0.5455,0.5675,0.5565,0.4454,0.5341,0.4898,0.5428,0.451,0.4969
0.6,-0.1573,0.6334,0.579,0.5487,0.5648,0.5568,0.4458,0.5289,0.4874,0.5286,0.4332,0.4809
0.7,-0.1624,0.6404,0.5568,0.5547,0.5662,0.5604,0.4479,0.5266,0.4873,0.5141,0.4176,0.4658
0.8,-0.1654,0.65,0.5365,0.5631,0.5723,0.5677,0.4515,0.5274,0.4894,0.4997,0.4041,0.4519
0.9,-0.1657,0.6627,0.5192,0.5743,0.5837,0.579,0.4568,0.5313,0.4941,0.4864,0.3934,0.4399
1,-0.1625,0.6785,0.5054,0.5887,0.6003,0.5945,0.4643,0.5385,0.5014,0.4747,0.386,0.4304
1.1,-0.1551,0.6968,0.4952,0.6063,0.6216,0.6139,0.4741,0.5485,0.5113,0.465,0.3822,0.4236
1.2,-0.1434,0.7172,0.4885,0.6267,0.6468,0.6368,0.4858,0.5606,0.5232,0.457,0.382,0.4195
1.3,-0.1277,0.7389,0.4849,0.6492,0.6753,0.6622,0.4992,0.5744,0.5368,0.4507,0.3852,0.4179
1.4,-0.1085,0.7612,0.4844,0.6727,0.7055,0.6891,0.5139,0.5891,0.5515,0.4465,0.3919,0.4192
1.5,-0.0868,0.783,0.4864,0.696,0.7358,0.7159,0.5295,0.6042,0.5669,0.4449,0.4019,0.4234
1.6,-0.0642,0.8027,0.4906,0.7177,0.7642,0.741,0.5453,0.6189,0.5821,0.446,0.4147,0.4303
1.7,-0.0422,0.8187,0.4965,0.7365,0.7895,0.763,0.5602,0.6324,0.5963,0.4492,0.4298,0.4395
1.8,-0.0217,0.8304,0.5038,0.7519,0.8109,0.7814,0.5737,0.6443,0.609,0.454,0.4471,0.4505
1.9,-0.0028,0.8376,0.5122,0.7637,0.8285,0.7961,0.5855,0.6545,0.62,0.4608,0.4668,0.4638
2,0.0151,0.8406,0.5214,0.7723,0.842,0.8072,0.5959,0.6629,0.6294,0.4704,0.4894,0.4799
2.1,0.0325,0.8391,0.5307,0.7779,0.8512,0.8146,0.6051,0.6691,0.6371,0.4833,0.515,0.4991
2.2,0.0499,0.8331,0.5393,0.7807,0.8558,0.8182,0.6127,0.6727,0.6427,0.499,0.5427,0.5208
2.3,0.0679,0.8225,0.5468,0.7808,0.8558,0.8183,0.6181,0.673,0.6456,0.5163,0.5714,0.5438
