Time,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4041,0.4767,0.3209,0.5773,0.2319,0.4046,0.3109,0.3843,0.3476,0.2862,0.4283,0.3573
0.1,-0.3735,0.4828,0.3243,0.5846,0.2261,0.4053,0.3743,0.405,0.3897,0.3747,0.4571,0.4159
0.2,-0.3373,0.4896,0.3302,0.5905,0.2241,0.4073,0.4334,0.4287,0.4311,0.4516,0.4839,0.4677
0.3,-0.2942,0.4967,0.3382,0.5948,0.2241,0.4094,0.4865,0.4544,0.4705,0.5153,0.5088,0.512
0.4,-0.2441,0.5039,0.3474,0.5983,0.2255,0.4119,0.5323,0.4808,0.5066,0.5657,0.5313,0.5485
0.5,-0.188,0.5119,0.3572,0.6029,0.2293,0.4161,0.5707,0.5068,0.5387,0.6032,0.5509,0.5771
0.6,-0.1282,0.5217,0.3673,0.6098,0.237,0.4234,0.6019,0.5317,0.5668,0.6275,0.5666,0.5971
0.7,-0.0659,0.5337,0.3768,0.6191,0.2496,0.4343,0.6259,0.5549,0.5904,0.639,0.5772,0.6081
0.8,-0.0024,0.5472,0.3843,0.6295,0.2665,0.448,0.6427,0.5754,0.6091,0.6385,0.5817,0.6101
0.9,0.0607,0.5609,0.3882,0.6398,0.2865,0.4632,0.6523,0.5926,0.6225,0.628,0.5789,0.6035
1,0.1225,0.5741,0.3869,0.6498,0.3077,0.4787,0.6553,0.6063,0.6308,0.6094,0.5681,0.5887
1.1,0.1837,0.5869,0.3798,0.66,0.329,0.4945,0.653,0.6161,0.6346,0.5839,0.5492,0.5665
1.2,0.2441,0.5993,0.3674,0.6711,0.3496,0.5103,0.6468,0.6218,0.6343,0.5528,0.5229,0.5379
1.3,0.3024,0.6108,0.3504,0.6829,0.3691,0.526,0.6376,0.6226,0.6301,0.5178,0.4913,0.5046
1.4,0.3555,0.6207,0.3301,0.6945,0.3869,0.5407,0.6256,0.6181,0.6219,0.4808,0.457,0.4689
1.5,0.4006,0.6285,0.3074,0.7052,0.4024,0.5538,0.6113,0.6078,0.6095,0.444,0.4225,0.4333
1.6,0.4367,0.6343,0.2829,0.7148,0.4149,0.5648,0.5948,0.5911,0.593,0.4092,0.3896,0.3994
1.7,0.4657,0.6386,0.2574,0.7231,0.4237,0.5734,0.5772,0.5681,0.5727,0.3773,0.3603,0.3688
1.8,0.4893,0.642,0.2323,0.7304,0.4285,0.5795,0.5599,0.539,0.5494,0.3491,0.3362,0.3427
1.9,0.5078,0.6443,0.2091,0.7366,0.4298,0.5832,0.5445,0.5047,0.5246,0.3255,0.3184,0.322
2,0.5201,0.6446,0.189,0.7414,0.4279,0.5847,0.5325,0.4666,0.4995,0.3073,0.3072,0.3073
2.1,0.5246,0.6421,0.1736,0.7446,0.4239,0.5843,0.5246,0.4262,0.4754,0.2949,0.3023,0.2986
2.2,0.5204,0.6373,0.1643,0.7465,0.4193,0.5829,0.5204,0.3857,0.4531,0.2885,0.3033,0.2959
2.3,0.5069,0.6312,0.1623,0.7479,0.4156,0.5818,0.5199,0.3476,0.4337,0.2883,0.31,0.2992
2.4,0.484,0.6251,0.1692,0.7495,0.4149,0.5822,0.5231,0.3144,0.4188,0.2949,0.3224,0.3086
2.5,0.4526,0.6196,0.1858,0.7517,0.418,0.5848,0.531,0.2892,0.4101,0.3093,0.3406,0.325
2.6,0.4142,0.6148,0.2128,0.7544,0.4252,0.5898,0.5444,0.2747,0.4095,0.3324,0.3641,0.3483
2.7,0.3701,0.6112,0.2505,0.7577,0.4367,0.5972,0.5631,0.2734,0.4182,0.3633,0.3919,0.3776
2.8,0.3197,0.6103,0.298,0.7622,0.4529,0.6075,0.5863,0.2869,0.4366,0.3998,0.4224,0.4111
2.9,0.2613,0.6132,0.3533,0.7683,0.4741,0.6212,0.6129,0.3155,0.4642,0.44,0.4545,0.4473
3,0.1931,0.6205,0.4136,0.7766,0.5005,0.6385,0.6424,0.3578,0.5001,0.4825,0.4876,0.4851
3.1,0.1159,0.6322,0.4753,0.7867,0.5313,0.659,0.6743,0.4109,0.5426,0.527,0.5213,0.5242
3.2,0.0327,0.6476,0.536,0.7985,0.5647,0.6816,0.7083,0.4707,0.5895,0.5732,0.5555,0.5644
3.3,-0.0526,0.6656,0.5938,0.8116,0.5979,0.7047,0.7434,0.5333,0.6384,0.6201,0.59,0.6051
3.4,-0.1361,0.6847,0.6471,0.8254,0.6281,0.7268,0.7786,0.5949,0.6867,0.6663,0.6244,0.6453
3.5,-0.2134,0.7032,0.6943,0.8394,0.6529,0.7461,0.813,0.6526,0.7328,0.7103,0.6582,0.6842
3.6,-0.2814,0.7201,0.7341,0.8534,0.6711,0.7622,0.8469,0.705,0.7759,0.7511,0.6904,0.7208
3.7,-0.3386,0.7352,0.7653,0.868,0.6831,0.7755,0.8804,0.7513,0.8158,0.7882,0.7195,0.7538
3.8,-0.3847,0.7487,0.7876,0.8841,0.69,0.787,0.9132,0.7912,0.8522,0.8207,0.7441,0.7824
3.9,-0.4196,0.761,0.8014,0.9019,0.6921,0.797,0.9445,0.8249,0.8847,0.8484,0.7634,0.8059
4,-0.442,0.7718,0.8071,0.9202,0.6891,0.8046,0.9726,0.8527,0.9127,0.871,0.7773,0.8241
4.1,-0.4493,0.7804,0.8044,0.9369,0.6798,0.8083,0.9954,0.8751,0.9352,0.8888,0.7864,0.8376
4.2,-0.4409,0.7852,0.7929,0.9497,0.6632,0.8064,1.0112,0.8923,0.9517,0.9022,0.791,0.8466
4.3,-0.4193,0.7857,0.7724,0.9578,0.6396,0.7987,1.0193,0.9046,0.9619,0.9109,0.7912,0.851
4.4,-0.3867,0.7823,0.7434,0.9614,0.6102,0.7858,1.0193,0.9125,0.9659,0.9144,0.7873,0.8508
4.5,-0.3448,0.7761,0.7075,0.961,0.5772,0.7691,1.0111,0.9165,0.9638,0.9124,0.7806,0.8465
4.6,-0.2963,0.7681,0.6665,0.9559,0.5429,0.7494,0.9946,0.917,0.9558,0.9047,0.7732,0.8389
4.7,-0.2452,0.759,0.6228,0.9447,0.5095,0.7271,0.9704,0.9144,0.9424,0.8917,0.7667,0.8292
4.8,-0.1952,0.7492,0.5785,0.9271,0.4783,0.7027,0.9393,0.9093,0.9243,0.8742,0.762,0.8181
4.9,-0.1491,0.7387,0.5359,0.9034,0.4505,0.6769,0.9027,0.9016,0.9021,0.8524,0.7592,0.8058
5,-0.1091,0.7274,0.4972,0.8746,0.4271,0.6508,0.8618,0.8918,0.8768,0.8262,0.7585,0.7923
5.1,-0.0768,0.7158,0.4646,0.8423,0.409,0.6257,0.8184,0.8803,0.8494,0.7959,0.7605,0.7782
5.2,-0.0525,0.7044,0.4399,0.8081,0.3973,0.6027,0.7739,0.8681,0.821,0.7625,0.7654,0.764
5.3,-0.0364,0.6943,0.4239,0.7738,0.3922,0.583,0.7297,0.8558,0.7928,0.7267,0.7723,0.7495
5.4,-0.0282,0.6864,0.4166,0.7413,0.3937,0.5675,0.6871,0.844,0.7656,0.6893,0.7793,0.7343
5.5,-0.0275,0.6816,0.4173,0.7118,0.402,0.5569,0.6468,0.8333,0.7401,0.6512,0.7849,0.7181
5.6,-0.0329,0.681,0.4254,0.6861,0.4169,0.5515,0.6097,0.8241,0.7169,0.6134,0.7885,0.7009
5.7,-0.0423,0.6849,0.4395,0.6643,0.4376,0.551,0.576,0.8166,0.6963,0.5771,0.7901,0.6836
5.8,-0.0534,0.6926,0.4582,0.6463,0.4627,0.5545,0.5457,0.8109,0.6783,0.543,0.7894,0.6662
5.9,-0.0645,0.7033,0.4802,0.6318,0.4898,0.5608,0.5179,0.8062,0.662,0.5114,0.7854,0.6484
6,-0.075,0.716,0.5038,0.6204,0.5169,0.5687,0.4918,0.8006,0.6462,0.4818,0.7775,0.6296
6.1,-0.0848,0.7304,0.5274,0.6125,0.5423,0.5774,0.4668,0.7923,0.6295,0.4536,0.7654,0.6095
6.2,-0.0929,0.7455,0.5493,0.6081,0.5652,0.5866,0.4427,0.7802,0.6115,0.4267,0.7502,0.5885
6.3,-0.0972,0.7604,0.5686,0.6067,0.585,0.5959,0.4204,0.7643,0.5924,0.4022,0.7335,0.5679
6.4,-0.0952,0.774,0.5851,0.608,0.6012,0.6046,0.4006,0.7457,0.5732,0.3816,0.7167,0.5492
6.5,-0.0857,0.7855,0.5986,0.611,0.6134,0.6122,0.3839,0.7252,0.5546,0.3653,0.7003,0.5328
6.6,-0.0685,0.7947,0.6089,0.6152,0.6215,0.6184,0.3705,0.7034,0.537,0.3525,0.6839,0.5182
6.7,-0.0438,0.8014,0.6154,0.6205,0.6261,0.6233,0.3604,0.6808,0.5206,0.342,0.6667,0.5044
6.8,-0.0121,0.8062,0.6176,0.6275,0.628,0.6278,0.3539,0.658,0.5059,0.333,0.6476,0.4903
6.9,0.0262,0.8091,0.6158,0.6369,0.6281,0.6325,0.3511,0.6359,0.4935,0.3257,0.6258,0.4757
7,0.0703,0.8099,0.6104,0.6489,0.6267,0.6378,0.3517,0.6146,0.4831,0.3208,0.6013,0.461
7.1,0.119,0.8085,0.6021,0.6625,0.6235,0.643,0.3542,0.5937,0.4739,0.319,0.5751,0.447
7.2,0.1709,0.805,0.5921,0.6763,0.6183,0.6473,0.3568,0.5726,0.4647,0.3201,0.5485,0.4343
7.3,0.2245,0.8,0.5811,0.6892,0.611,0.6501,0.3582,0.5514,0.4548,0.3237,0.5225,0.4231
7.4,0.2778,0.7935,0.5701,0.7002,0.6014,0.6508,0.3578,0.5307,0.4442,0.3294,0.4975,0.4134
7.5,0.3287,0.7847,0.5597,0.7082,0.5892,0.6487,0.3557,0.5109,0.4333,0.3366,0.474,0.4053
7.6,0.3747,0.7731,0.5507,0.712,0.5739,0.643,0.3526,0.492,0.4223,0.3453,0.4528,0.399
7.7,0.4135,0.7591,0.5436,0.7111,0.5554,0.6332,0.3493,0.4743,0.4118,0.356,0.435,0.3955
7.8,0.4435,0.7438,0.5391,0.7052,0.5344,0.6198,0.3469,0.4585,0.4027,0.369,0.4219,0.3954
