Time,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.4,-0.1583,0.6765,0.6392,0.7534,0.7843,0.7688,0.5692,0.6446,0.6069,0.3877,0.5159,0.4518
4.5,-0.1599,0.6883,0.6254,0.7733,0.7621,0.7677,0.567,0.647,0.607,0.3594,0.5043,0.4318
4.6,-0.1534,0.6992,0.6088,0.7922,0.7371,0.7647,0.5634,0.6468,0.6051,0.3309,0.4908,0.4109
4.7,-0.1385,0.7095,0.5906,0.8098,0.7101,0.76,0.5592,0.6457,0.6024,0.3036,0.4764,0.39
4.8,-0.1155,0.719,0.5719,0.8259,0.6817,0.7538,0.5555,0.6446,0.6001,0.2787,0.462,0.3703
4.9,-0.0849,0.7274,0.5529,0.84,0.6523,0.7461,0.5531,0.6446,0.5988,0.2573,0.4485,0.3529
5,-0.0481,0.7338,0.5334,0.8512,0.6223,0.7368,0.5519,0.6456,0.5987,0.2401,0.4369,0.3385
5.1,-0.0075,0.7376,0.5137,0.8585,0.5927,0.7256,0.5509,0.6476,0.5992,0.2276,0.4284,0.328
5.2,0.0335,0.7382,0.4946,0.8613,0.5643,0.7128,0.5493,0.65,0.5996,0.2193,0.4234,0.3214
5.3,0.0711,0.7352,0.4773,0.8583,0.5379,0.6981,0.5465,0.6525,0.5995,0.2141,0.4215,0.3178
5.4,0.1028,0.7284,0.463,0.8483,0.5141,0.6812,0.5429,0.6553,0.5991,0.2112,0.4223,0.3167
5.5,0.1281,0.7179,0.4524,0.8304,0.4931,0.6618,0.539,0.6586,0.5988,0.2107,0.4257,0.3182
5.6,0.1481,0.7043,0.4453,0.8046,0.4752,0.6399,0.5349,0.6622,0.5985,0.2127,0.4317,0.3222
5.7,0.1639,0.6881,0.4409,0.7715,0.4606,0.616,0.5307,0.6658,0.5983,0.2168,0.4401,0.3285
5.8,0.176,0.6706,0.4387,0.733,0.4491,0.591,0.5269,0.6691,0.598,0.2227,0.4507,0.3367
5.9,0.1848,0.653,0.4386,0.6915,0.4405,0.566,0.5243,0.6716,0.598,0.2302,0.4639,0.3471
6,0.19,0.6361,0.4404,0.6489,0.4345,0.5417,0.5232,0.6726,0.5979,0.2395,0.4801,0.3598
