Time,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,0.52,0.8154,0.7166,0.7699,0.7138,0.7419,0.8445,0.6019,0.7232,0.7356,0.853,0.7943
4.6,0.5804,0.8102,0.7673,0.808,0.7205,0.7642,0.8815,0.639,0.7603,0.7669,0.8783,0.8226
4.7,0.6362,0.8057,0.8139,0.8467,0.7297,0.7882,0.9216,0.6761,0.7988,0.7956,0.9026,0.8491
4.8,0.6841,0.8022,0.8555,0.8836,0.7416,0.8126,0.9632,0.7116,0.8374,0.8202,0.9246,0.8724
4.9,0.722,0.7993,0.8912,0.9164,0.7555,0.836,1.0049,0.7446,0.8747,0.8398,0.9434,0.8916
5,0.7492,0.7963,0.9212,0.9437,0.7699,0.8568,1.0452,0.7738,0.9095,0.8543,0.9586,0.9064
5.1,0.767,0.7927,0.9459,0.9649,0.7832,0.874,1.0835,0.7987,0.9411,0.8639,0.9695,0.9167
5.2,0.7776,0.7888,0.9662,0.9804,0.7946,0.8875,1.1196,0.8194,0.9695,0.8693,0.9761,0.9227
5.3,0.7818,0.7852,0.9828,0.9907,0.8047,0.8977,1.1529,0.8368,0.9948,0.8708,0.9781,0.9245
5.4,0.778,0.7826,0.9961,0.996,0.8149,0.9054,1.1827,0.8516,1.0171,0.8691,0.9761,0.9226
5.5,0.7634,0.7813,1.0064,0.9962,0.8259,0.911,1.2082,0.8643,1.0363,0.8651,0.9712,0.9181
5.6,0.7361,0.781,1.0141,0.991,0.8372,0.9141,1.2287,0.8747,1.0517,0.8598,0.9646,0.9122
5.7,0.6961,0.7807,1.0191,0.9804,0.8472,0.9138,1.2435,0.882,1.0627,0.8537,0.957,0.9054
5.8,0.645,0.7799,1.0216,0.9646,0.8547,0.9096,1.2518,0.8855,1.0687,0.8471,0.9488,0.898
5.9,0.5851,0.779,1.0214,0.9443,0.8595,0.9019,1.2531,0.8848,1.0689,0.8399,0.9402,0.89
6,0.5198,0.7786,1.0185,0.9205,0.862,0.8913,1.2465,0.8792,1.0629,0.8325,0.9311,0.8818
6.1,0.4518,0.7788,1.013,0.8943,0.8623,0.8783,1.2307,0.8683,1.0495,0.8248,0.9217,0.8732
6.2,0.3832,0.7788,1.0053,0.8658,0.8594,0.8626,1.2029,0.8519,1.0274,0.8169,0.9118,0.8643
6.3,0.3157,0.777,0.9962,0.8351,0.8517,0.8434,1.16,0.8304,0.9952,0.8087,0.9017,0.8552
6.4,0.2512,0.7725,0.9862,0.8024,0.8385,0.8204,1.0998,0.8048,0.9523,0.8006,0.8915,0.8461
6.5,0.192,0.7648,0.9753,0.7683,0.8205,0.7944,1.0231,0.7761,0.8996,0.7929,0.8812,0.8371
6.6,0.1409,0.7539,0.9635,0.734,0.7995,0.7667,0.9344,0.7451,0.8398,0.7858,0.8708,0.8283
6.7,0.0997,0.7405,0.9506,0.7005,0.7776,0.739,0.841,0.7123,0.7766,0.7787,0.86,0.8194
6.8,0.0692,0.7255,0.9358,0.669,0.7561,0.7126,0.75,0.6776,0.7138,0.7706,0.8489,0.8098
6.9,0.0491,0.7102,0.9186,0.6406,0.7356,0.6881,0.6667,0.6417,0.6542,0.7611,0.8374,0.7993
7,0.0383,0.6957,0.8989,0.6161,0.7162,0.6661,0.5943,0.606,0.6002,0.7506,0.8256,0.7881
