Time,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
26.7,0.1189,0.8261,0.8744,0.8307,0.7555,0.7931,0.9425,0.8334,0.888,0.8487,0.9067,0.8777
26.8,0.1226,0.8297,0.8507,0.8485,0.7691,0.8088,0.9499,0.8337,0.8918,0.841,0.9063,0.8737
26.9,0.1252,0.8339,0.8241,0.8662,0.7831,0.8247,0.9571,0.8331,0.8951,0.8338,0.9053,0.8695
27,0.1253,0.838,0.7951,0.8835,0.797,0.8403,0.9637,0.8315,0.8976,0.827,0.9033,0.8651
27.1,0.1215,0.8412,0.7641,0.8997,0.8107,0.8552,0.9695,0.8287,0.8991,0.8207,0.9001,0.8604
27.2,0.1137,0.8435,0.7318,0.9148,0.8239,0.8694,0.9743,0.8247,0.8995,0.8152,0.8956,0.8554
27.3,0.1026,0.8452,0.6991,0.9289,0.8368,0.8828,0.9779,0.82,0.8989,0.8106,0.8902,0.8504
27.4,0.0888,0.8464,0.667,0.9419,0.8489,0.8954,0.9801,0.8146,0.8974,0.807,0.884,0.8455
27.5,0.073,0.8463,0.6365,0.9531,0.8597,0.9064,0.9802,0.8086,0.8944,0.8042,0.8769,0.8405
27.6,0.0556,0.8444,0.6086,0.962,0.8684,0.9152,0.9775,0.8018,0.8897,0.8018,0.8686,0.8352
27.7,0.0379,0.8403,0.5839,0.9678,0.8743,0.921,0.9716,0.7942,0.8829,0.7993,0.8589,0.8291
27.8,0.0213,0.8339,0.5629,0.9697,0.8765,0.9231,0.9621,0.7858,0.8739,0.796,0.8475,0.8218
27.9,0.0071,0.8252,0.5457,0.968,0.8747,0.9214,0.9492,0.7764,0.8628,0.7919,0.8346,0.8133
28,-0.003,0.8143,0.5322,0.9632,0.8687,0.9159,0.9336,0.7662,0.8499,0.7872,0.8208,0.804
28.1,-0.0082,0.8014,0.5223,0.9559,0.8583,0.9071,0.9159,0.755,0.8354,0.7821,0.8063,0.7942
28.2,-0.0085,0.7866,0.5159,0.9465,0.8438,0.8952,0.8965,0.7433,0.8199,0.7768,0.7917,0.7843
28.3,-0.004,0.7702,0.5128,0.9351,0.8257,0.8804,0.876,0.7311,0.8036,0.7713,0.7774,0.7743
28.4,0.0059,0.7528,0.5122,0.9221,0.8044,0.8633,0.8553,0.7188,0.787,0.7655,0.7636,0.7645
28.5,0.0215,0.7349,0.5136,0.9078,0.7804,0.8441,0.8349,0.7065,0.7707,0.7592,0.7508,0.755
28.6,0.0425,0.7161,0.5161,0.8925,0.7538,0.8231,0.8154,0.694,0.7547,0.7526,0.7392,0.7459
28.7,0.0684,0.6962,0.519,0.8763,0.725,0.8006,0.7968,0.681,0.7389,0.7457,0.729,0.7373
28.8,0.0979,0.6747,0.5219,0.8591,0.6943,0.7767,0.7791,0.6675,0.7233,0.7381,0.7198,0.729
28.9,0.1286,0.6517,0.5244,0.8405,0.6621,0.7513,0.7618,0.6531,0.7074,0.7288,0.7114,0.7201
29,0.1587,0.6273,0.5265,0.8204,0.6292,0.7248,0.7447,0.6378,0.6912,0.7174,0.7033,0.7103
29.1,0.1869,0.602,0.5278,0.7991,0.5969,0.698,0.728,0.6221,0.675,0.704,0.6958,0.6999
29.2,0.2123,0.5767,0.5282,0.7771,0.5666,0.6719,0.712,0.6066,0.6593,0.6891,0.6891,0.6891
29.3,0.2348,0.5525,0.5279,0.7546,0.5395,0.6471,0.697,0.5919,0.6445,0.6731,0.6835,0.6783
29.4,0.2547,0.5307,0.527,0.732,0.5164,0.6242,0.6835,0.5787,0.6311,0.6564,0.679,0.6677
29.5,0.2717,0.5123,0.5257,0.7094,0.4976,0.6035,0.6717,0.5674,0.6195,0.6396,0.6756,0.6576
29.6,0.2849,0.4981,0.5239,0.687,0.4835,0.5853,0.6616,0.5579,0.6097,0.623,0.6731,0.6481
29.7,0.2935,0.4883,0.5219,0.6649,0.4741,0.5695,0.6531,0.5504,0.6017,0.6071,0.6712,0.6391
29.8,0.2969,0.4827,0.5194,0.6434,0.469,0.5562,0.6462,0.5448,0.5955,0.5922,0.6693,0.6307
29.9,0.2945,0.4808,0.5165,0.6226,0.4679,0.5453,0.6407,0.5413,0.591,0.5784,0.6672,0.6228
30,0.2878,0.4817,0.5136,0.6033,0.4697,0.5365,0.6366,0.5395,0.5881,0.5661,0.6644,0.6152
30.1,0.2791,0.4845,0.5114,0.5862,0.4732,0.5297,0.6341,0.5394,0.5867,0.5552,0.6609,0.6081
30.2,0.2693,0.4887,0.5107,0.5723,0.4778,0.525,0.6331,0.541,0.5871,0.5465,0.657,0.6018
30.3,0.2593,0.4937,0.513,0.5623,0.4835,0.5229,0.634,0.5449,0.5894,0.5407,0.6535,0.5971
30.4,0.2495,0.4996,0.519,0.5569,0.4904,0.5237,0.6366,0.5514,0.594,0.5384,0.651,0.5947
30.5,0.2411,0.5068,0.5291,0.5561,0.4985,0.5273,0.6405,0.5605,0.6005,0.5394,0.6497,0.5945
30.6,0.2348,0.5156,0.5436,0.5596,0.5078,0.5337,0.6449,0.5721,0.6085,0.5435,0.6496,0.5965
30.7,0.2311,0.5257,0.562,0.5669,0.518,0.5425,0.6497,0.5857,0.6177,0.5501,0.6507,0.6004
30.8,0.23,0.5365,0.5833,0.5775,0.5285,0.553,0.6543,0.6009,0.6276,0.5587,0.6529,0.6058
30.9,0.2316,0.5475,0.6071,0.5907,0.539,0.5649,0.6588,0.6172,0.638,0.5689,0.656,0.6124
31,0.2359,0.5585,0.6325,0.6059,0.5492,0.5775,0.6629,0.6339,0.6484,0.5806,0.66,0.6203
31.1,0.243,0.5693,0.6583,0.6226,0.5588,0.5907,0.6667,0.6506,0.6587,0.5936,0.665,0.6293
31.2,0.2527,0.5801,0.6826,0.6408,0.5675,0.6042,0.67,0.6667,0.6683,0.6075,0.6707,0.6391
31.3,0.2646,0.591,0.7033,0.6602,0.5756,0.6179,0.6727,0.6815,0.6771,0.622,0.6769,0.6495
31.4,0.2757,0.6028,0.719,0.6801,0.5837,0.6319,0.6749,0.6949,0.6849,0.637,0.6834,0.6602
31.5,0.2826,0.6159,0.7287,0.6999,0.593,0.6465,0.6766,0.7066,0.6916,0.6521,0.6902,0.6711
31.6,0.2852,0.6302,0.7322,0.7189,0.6034,0.6611,0.6781,0.7164,0.6973,0.6664,0.6968,0.6816
31.7,0.285,0.6453,0.7296,0.7367,0.614,0.6754,0.6793,0.7235,0.7014,0.6792,0.7026,0.6909
31.8,0.2828,0.6608,0.7219,0.7531,0.6246,0.6888,0.6804,0.7279,0.7041,0.6897,0.7072,0.6984
31.9,0.2785,0.6766,0.7107,0.7682,0.635,0.7016,0.6815,0.7299,0.7057,0.6978,0.7104,0.7041
32,0.2714,0.6927,0.6977,0.7818,0.6453,0.7136,0.6831,0.73,0.7066,0.7035,0.7125,0.708
32.1,0.2607,0.7091,0.684,0.7939,0.6558,0.7249,0.6855,0.7292,0.7073,0.7071,0.7136,0.7103
32.2,0.2458,0.7256,0.6705,0.8043,0.6669,0.7356,0.6893,0.7282,0.7087,0.7091,0.7139,0.7115
32.3,0.2271,0.7419,0.6581,0.813,0.6785,0.7458,0.6945,0.7279,0.7112,0.7099,0.7137,0.7118
32.4,0.2055,0.7575,0.6474,0.8202,0.6907,0.7554,0.7012,0.7288,0.715,0.7099,0.7131,0.7115
32.5,0.182,0.7719,0.6389,0.8258,0.7033,0.7646,0.7094,0.7314,0.7204,0.7096,0.7122,0.7109
32.6,0.1576,0.7847,0.6326,0.8297,0.7159,0.7728,0.7191,0.7354,0.7273,0.7098,0.7115,0.7107
32.7,0.1332,0.7957,0.6284,0.8318,0.728,0.7799,0.7302,0.7409,0.7356,0.711,0.7111,0.711
32.8,0.1088,0.8044,0.6262,0.8325,0.7392,0.7859,0.7423,0.7473,0.7448,0.7134,0.7108,0.7121
32.9,0.0844,0.8106,0.6256,0.8321,0.7494,0.7907,0.7551,0.7542,0.7546,0.7171,0.7104,0.7138
33,0.0601,0.8144,0.6265,0.8315,0.7586,0.795,0.7684,0.7614,0.7649,0.7222,0.71,0.7161
33.1,0.0366,0.816,0.6287,0.8317,0.7672,0.7994,0.7825,0.7689,0.7757,0.7286,0.7098,0.7192
33.2,0.0146,0.8157,0.6324,0.8331,0.7752,0.8042,0.7974,0.7767,0.7871,0.7366,0.7101,0.7234
33.3,-0.0047,0.8135,0.6377,0.8356,0.7824,0.809,0.8132,0.7848,0.799,0.7463,0.7115,0.7289
33.4,-0.0209,0.8097,0.6449,0.8392,0.7888,0.814,0.8296,0.7934,0.8115,0.7581,0.7143,0.7362
33.5,-0.035,0.8053,0.6546,0.8436,0.7954,0.8195,0.8468,0.803,0.8249,0.7719,0.7189,0.7454
33.6,-0.0484,0.8008,0.6673,0.8485,0.8029,0.8257,0.8645,0.8142,0.8394,0.7875,0.7255,0.7565
33.7,-0.0614,0.7968,0.6827,0.8534,0.8115,0.8325,0.8822,0.8267,0.8545,0.8045,0.7337,0.7691
33.8,-0.0741,0.7933,0.7,0.8579,0.8208,0.8394,0.8993,0.8401,0.8697,0.8221,0.7429,0.7825
33.9,-0.0863,0.7905,0.7187,0.8614,0.8303,0.8458,0.9154,0.8542,0.8848,0.84,0.7526,0.7963
34,-0.0976,0.7882,0.7386,0.8634,0.8392,0.8513,0.93,0.8686,0.8993,0.858,0.7628,0.8104
34.1,-0.1077,0.7863,0.7596,0.8639,0.8472,0.8556,0.9431,0.8832,0.9131,0.876,0.7732,0.8246
34.2,-0.1157,0.785,0.7817,0.8627,0.854,0.8584,0.9548,0.8976,0.9262,0.8941,0.7841,0.8391
34.3,-0.1209,0.7845,0.8046,0.8601,0.8595,0.8598,0.9652,0.9115,0.9383,0.9123,0.7952,0.8538
34.4,-0.1226,0.7847,0.8278,0.8562,0.8632,0.8597,0.9737,0.9241,0.9489,0.9304,0.8064,0.8684
34.5,-0.1199,0.7856,0.8504,0.8511,0.8649,0.858,0.9798,0.9348,0.9573,0.9476,0.8168,0.8822
34.6,-0.1128,0.7868,0.8716,0.8449,0.8644,0.8546,0.9832,0.943,0.9631,0.9633,0.8263,0.8948
34.7,-0.1014,0.7879,0.8909,0.8375,0.8613,0.8494,0.9838,0.9485,0.9661,0.977,0.8345,0.9057
34.8,-0.086,0.7883,0.9079,0.8291,0.8555,0.8423,0.9815,0.9509,0.9662,0.9879,0.8411,0.9145
34.9,-0.0666,0.7876,0.9228,0.8199,0.8468,0.8334,0.9768,0.9502,0.9635,0.9959,0.8459,0.9209
35,-0.0436,0.7857,0.9355,0.8104,0.8354,0.8229,0.9699,0.9463,0.9581,1.0006,0.849,0.9248
35.1,-0.0186,0.783,0.9466,0.8009,0.8217,0.8113,0.9612,0.94,0.9506,1.0021,0.8505,0.9263
35.2,0.0069,0.7798,0.9563,0.7919,0.8067,0.7993,0.9512,0.9321,0.9416,1.0004,0.8508,0.9256
35.3,0.0315,0.7765,0.9646,0.7834,0.7911,0.7873,0.9405,0.9232,0.9319,0.9962,0.8504,0.9233
35.4,0.0543,0.7731,0.9715,0.7754,0.7754,0.7754,0.9299,0.9141,0.922,0.99,0.8494,0.9197
35.5,0.0741,0.7694,0.9768,0.7677,0.7601,0.7639,0.9197,0.905,0.9123,0.9821,0.8479,0.915
35.6,0.0905,0.7649,0.9803,0.7601,0.745,0.7525,0.91,0.896,0.903,0.9726,0.8457,0.9091
35.7,0.103,0.7591,0.982,0.7523,0.73,0.7411,0.9006,0.8871,0.8938,0.9615,0.8425,0.902
35.8,0.1116,0.752,0.9819,0.744,0.7148,0.7294,0.8915,0.8783,0.8849,0.9491,0.8386,0.8939
35.9,0.1166,0.7438,0.9799,0.7348,0.6995,0.7171,0.8827,0.8695,0.8761,0.936,0.8343,0.8851
36,0.1182,0.7348,0.976,0.725,0.684,0.7045,0.8742,0.8609,0.8675,0.9224,0.8296,0.876
36.1,0.1172,0.7255,0.9701,0.715,0.6687,0.6918,0.8658,0.8525,0.8592,0.9086,0.8245,0.8665
36.2,0.1142,0.716,0.9622,0.7051,0.6537,0.6794,0.8577,0.8444,0.851,0.8948,0.8192,0.857
36.3,0.1105,0.7066,0.9528,0.6957,0.6393,0.6675,0.8496,0.8364,0.843,0.8811,0.8139,0.8475
36.4,0.107,0.6972,0.9424,0.6868,0.6257,0.6563,0.8416,0.8285,0.835,0.8679,0.8087,0.8383
36.5,0.1043,0.6879,0.931,0.6783,0.6132,0.6458,0.8334,0.8208,0.8271,0.8553,0.8039,0.8296
36.6,0.1025,0.6787,0.9189,0.67,0.602,0.636,0.825,0.8132,0.8191,0.8436,0.7998,0.8217
36.7,0.1012,0.6695,0.9063,0.662,0.5925,0.6272,0.816,0.8057,0.8109,0.8328,0.7963,0.8146
36.8,0.0999,0.6606,0.8937,0.6545,0.5847,0.6196,0.8063,0.7982,0.8022,0.8224,0.7934,0.8079
36.9,0.0981,0.6517,0.8809,0.6475,0.5789,0.6132,0.7954,0.7905,0.7929,0.8124,0.7909,0.8016
37,0.0953,0.6427,0.8676,0.6408,0.5747,0.6078,0.7831,0.7819,0.7825,0.8026,0.7884,0.7955
37.1,0.0914,0.6334,0.8534,0.6344,0.5718,0.6031,0.7693,0.772,0.7706,0.7931,0.7858,0.7894
37.2,0.0862,0.6235,0.8382,0.6281,0.5698,0.599,0.7539,0.7605,0.7572,0.7839,0.783,0.7834
37.3,0.0799,0.6131,0.822,0.6221,0.5683,0.5952,0.7373,0.7472,0.7422,0.7753,0.7799,0.7776
37.4,0.0732,0.6024,0.8051,0.6166,0.5674,0.592,0.7203,0.7323,0.7263,0.7681,0.7771,0.7726
37.5,0.0672,0.5922,0.788,0.6119,0.5674,0.5896,0.7039,0.7164,0.7101,0.7632,0.7751,0.7692
37.6,0.0621,0.5827,0.7708,0.6083,0.5685,0.5884,0.6889,0.6999,0.6944,0.7611,0.7742,0.7677
37.7,0.0571,0.5739,0.7534,0.6057,0.571,0.5883,0.6756,0.6833,0.6794,0.762,0.7742,0.7681
37.8,0.0518,0.566,0.7358,0.604,0.5749,0.5895,0.664,0.6673,0.6656,0.7657,0.7753,0.7705
37.9,0.046,0.5591,0.7186,0.6033,0.5801,0.5917,0.6544,0.6522,0.6533,0.7718,0.7773,0.7745
38,0.0397,0.5534,0.7021,0.6035,0.5866,0.595,0.6472,0.6387,0.6429,0.78,0.7799,0.7799
38.1,0.0326,0.5496,0.6872,0.6048,0.5942,0.5995,0.6429,0.6271,0.635,0.79,0.7828,0.7864
38.2,0.0244,0.5482,0.6746,0.6074,0.6031,0.6053,0.6423,0.6179,0.6301,0.8016,0.7855,0.7936
38.3,0.0152,0.5498,0.6645,0.6112,0.6133,0.6122,0.6453,0.6114,0.6284,0.8142,0.7876,0.8009
38.4,0.0053,0.5545,0.657,0.6163,0.6244,0.6204,0.6518,0.6076,0.6297,0.8265,0.7885,0.8075
38.5,-0.0046,0.5626,0.6519,0.6225,0.6365,0.6295,0.6614,0.6065,0.634,0.838,0.7881,0.813
38.6,-0.0136,0.5744,0.6493,0.6298,0.6496,0.6397,0.6741,0.6084,0.6413,0.8484,0.7866,0.8175
38.7,-0.0211,0.5899,0.6491,0.6381,0.6636,0.6509,0.6899,0.6132,0.6516,0.8576,0.7841,0.8209
38.8,-0.0273,0.6082,0.6514,0.6473,0.678,0.6626,0.7079,0.6208,0.6644,0.8653,0.7808,0.823
38.9,-0.0324,0.628,0.6563,0.6572,0.692,0.6746,0.7273,0.6307,0.679,0.871,0.7765,0.8238
39,-0.0359,0.6484,0.6634,0.6671,0.705,0.686,0.7471,0.6426,0.6948,0.8746,0.7715,0.8231
39.1,-0.0366,0.6683,0.6723,0.6763,0.7158,0.6961,0.7663,0.6557,0.711,0.8757,0.7661,0.8209
39.2,-0.0341,0.6868,0.6827,0.6843,0.7242,0.7043,0.7844,0.6699,0.7271,0.8743,0.7607,0.8175
39.3,-0.0282,0.7036,0.6948,0.6911,0.7303,0.7107,0.8014,0.685,0.7432,0.8707,0.7554,0.813
39.4,-0.019,0.7183,0.7082,0.6966,0.7342,0.7154,0.817,0.7008,0.7589,0.865,0.7504,0.8077
39.5,-0.0067,0.7304,0.7223,0.7005,0.7357,0.7181,0.8306,0.7161,0.7734,0.8573,0.7454,0.8013
39.6,0.0084,0.7392,0.7363,0.7024,0.7349,0.7186,0.8415,0.73,0.7858,0.8476,0.74,0.7938
39.7,0.0253,0.7447,0.7497,0.7022,0.7319,0.717,0.8499,0.7422,0.7961,0.8361,0.7345,0.7853
39.8,0.0433,0.7469,0.7622,0.7,0.7271,0.7136,0.8562,0.753,0.8046,0.823,0.729,0.776
39.9,0.0613,0.7459,0.7735,0.6962,0.7211,0.7087,0.8605,0.7625,0.8115,0.8087,0.7238,0.7662
40,0.079,0.7418,0.7836,0.6911,0.7142,0.7026,0.863,0.7707,0.8169,0.7934,0.7186,0.756
40.1,0.0957,0.7349,0.7922,0.685,0.7068,0.6959,0.8639,0.7778,0.8208,0.7773,0.7134,0.7453
40.2,0.1111,0.7259,0.7991,0.6781,0.6995,0.6888,0.8634,0.7839,0.8237,0.7609,0.708,0.7345
40.3,0.1248,0.7154,0.8041,0.6704,0.6928,0.6816,0.8618,0.7894,0.8256,0.7446,0.7025,0.7236
40.4,0.1371,0.7041,0.8072,0.662,0.6868,0.6744,0.8598,0.7945,0.8272,0.7289,0.6969,0.7129
40.5,0.1482,0.6927,0.8085,0.6533,0.6818,0.6675,0.8582,0.7996,0.8289,0.7142,0.6912,0.7027
40.6,0.1584,0.6819,0.8084,0.6447,0.6781,0.6614,0.8573,0.8048,0.831,0.7008,0.6858,0.6933
40.7,0.1674,0.6725,0.8077,0.6371,0.6764,0.6568,0.8573,0.8104,0.8338,0.6891,0.6811,0.6851
40.8,0.175,0.6649,0.8071,0.6311,0.6771,0.6541,0.8582,0.8164,0.8373,0.6792,0.6769,0.678
40.9,0.1808,0.6592,0.8065,0.627,0.6801,0.6535,0.8596,0.8224,0.841,0.6702,0.6728,0.6715
41,0.1844,0.6553,0.8059,0.6251,0.685,0.655,0.8609,0.8282,0.8446,0.6615,0.668,0.6648
41.1,0.1861,0.6534,0.805,0.6255,0.6913,0.6584,0.8618,0.8333,0.8475,0.6527,0.6625,0.6576
41.2,0.1864,0.6534,0.8036,0.6281,0.6982,0.6632,0.8619,0.8372,0.8495,0.6435,0.6561,0.6498
41.3,0.1852,0.6557,0.8019,0.6328,0.7054,0.6691,0.8612,0.8397,0.8505,0.634,0.6492,0.6416
41.4,0.1819,0.6605,0.8004,0.6392,0.7125,0.6758,0.8596,0.841,0.8503,0.6244,0.6425,0.6335
41.5,0.1763,0.6677,0.7996,0.6464,0.719,0.6827,0.857,0.8408,0.8489,0.6151,0.6363,0.6257
41.6,0.1685,0.6761,0.7991,0.6533,0.7246,0.689,0.8527,0.8383,0.8455,0.6056,0.6306,0.6181
41.7,0.159,0.685,0.7988,0.6591,0.7287,0.6939,0.8465,0.8332,0.8398,0.596,0.6254,0.6107
41.8,0.1479,0.6942,0.799,0.664,0.7318,0.6979,0.8385,0.8258,0.8322,0.5867,0.6209,0.6038
41.9,0.1356,0.7037,0.8002,0.6685,0.7342,0.7014,0.8295,0.8169,0.8232,0.5785,0.6174,0.598
42,0.1228,0.713,0.8027,0.6729,0.7362,0.7046,0.8199,0.8071,0.8135,0.5718,0.6152,0.5935
42.1,0.1106,0.7212,0.8071,0.6773,0.7375,0.7074,0.8102,0.7967,0.8035,0.5669,0.6143,0.5906
42.2,0.0999,0.7278,0.8135,0.6815,0.7379,0.7097,0.8011,0.7863,0.7937,0.564,0.6148,0.5894
42.3,0.0912,0.7324,0.8214,0.6849,0.737,0.711,0.7928,0.7761,0.7844,0.563,0.6169,0.59
42.4,0.0847,0.7353,0.8303,0.6872,0.7349,0.711,0.7856,0.7666,0.7761,0.564,0.6209,0.5925
42.5,0.0792,0.7369,0.8398,0.6888,0.732,0.7104,0.7803,0.7584,0.7694,0.5671,0.6269,0.597
42.6,0.0737,0.7379,0.8497,0.6903,0.7289,0.7096,0.7774,0.7521,0.7648,0.5725,0.6348,0.6037
42.7,0.0681,0.7388,0.8596,0.6919,0.7258,0.7089,0.7767,0.748,0.7624,0.5802,0.6444,0.6123
42.8,0.0628,0.7396,0.8689,0.6939,0.7226,0.7082,0.7781,0.7458,0.7619,0.5898,0.6553,0.6225
42.9,0.0581,0.7405,0.8771,0.6965,0.7194,0.7079,0.7812,0.7455,0.7633,0.6011,0.667,0.6341
43,0.0541,0.7416,0.8836,0.7002,0.7165,0.7084,0.7859,0.7472,0.7666,0.6136,0.6793,0.6465
43.1,0.0505,0.7429,0.888,0.7052,0.7143,0.7098,0.7921,0.7509,0.7715,0.6268,0.6917,0.6593
43.2,0.0467,0.7441,0.8903,0.7114,0.7126,0.712,0.7995,0.7563,0.7779,0.6401,0.7034,0.6718
43.3,0.0425,0.7449,0.8907,0.7184,0.7114,0.7149,0.8078,0.7629,0.7853,0.6531,0.7136,0.6833
43.4,0.0379,0.7452,0.8892,0.7259,0.7101,0.718,0.8167,0.7706,0.7937,0.6658,0.7225,0.6941
43.5,0.0334,0.745,0.8857,0.733,0.7083,0.7207,0.8264,0.7793,0.8028,0.6785,0.7303,0.7044
43.6,0.0293,0.7445,0.8804,0.74,0.7059,0.7229,0.837,0.7889,0.8129,0.6914,0.7377,0.7145
43.7,0.026,0.7442,0.8741,0.7471,0.7032,0.7251,0.8492,0.7996,0.8244,0.7045,0.7454,0.7249
43.8,0.0238,0.7441,0.8674,0.7548,0.7006,0.7277,0.8632,0.8114,0.8373,0.7176,0.7538,0.7357
43.9,0.0229,0.744,0.8606,0.7631,0.6981,0.7306,0.8787,0.8237,0.8512,0.7305,0.7629,0.7467
44,0.0236,0.7431,0.8541,0.772,0.6958,0.7339,0.8951,0.8358,0.8655,0.7426,0.7723,0.7574
44.1,0.0258,0.741,0.8481,0.7811,0.6932,0.7372,0.9116,0.8476,0.8796,0.7536,0.7818,0.7677
44.2,0.0295,0.7373,0.8429,0.7901,0.6901,0.7401,0.9273,0.8586,0.8929,0.7633,0.791,0.7771
44.3,0.0341,0.7321,0.8384,0.7984,0.6864,0.7424,0.9417,0.8687,0.9052,0.7717,0.7998,0.7858
44.4,0.0391,0.7259,0.8343,0.8052,0.6822,0.7437,0.9544,0.8776,0.916,0.7792,0.8085,0.7939
44.5,0.0438,0.7191,0.8305,0.81,0.6775,0.7437,0.9652,0.8852,0.9252,0.7861,0.8173,0.8017
44.6,0.0472,0.7119,0.8275,0.812,0.6725,0.7423,0.9735,0.8911,0.9323,0.7927,0.8263,0.8095
44.7,0.0488,0.7043,0.8256,0.8109,0.6673,0.7391,0.979,0.8953,0.9371,0.7989,0.8354,0.8172
44.8,0.0482,0.6962,0.8254,0.8075,0.6623,0.7349,0.9814,0.8975,0.9395,0.8049,0.8445,0.8247
44.9,0.0453,0.6877,0.8271,0.8027,0.6582,0.7304,0.9807,0.8978,0.9393,0.8105,0.8529,0.8317
45,0.0402,0.6789,0.8308,0.7979,0.6555,0.7267,0.9772,0.8965,0.9369,0.8159,0.8605,0.8382
45.1,0.0332,0.6704,0.8359,0.7944,0.655,0.7247,0.972,0.894,0.933,0.8213,0.867,0.8441
45.2,0.0248,0.6624,0.8419,0.7928,0.6567,0.7247,0.9655,0.8906,0.9281,0.8265,0.8722,0.8494
45.3,0.0158,0.6547,0.8481,0.7923,0.6602,0.7262,0.9578,0.8858,0.9218,0.8313,0.8759,0.8536
45.4,0.0071,0.6471,0.8538,0.7923,0.6647,0.7285,0.9489,0.8793,0.9141,0.8352,0.878,0.8566
45.5,-0.0007,0.6397,0.8582,0.7922,0.6697,0.7309,0.9389,0.8711,0.905,0.838,0.8785,0.8582
45.6,-0.0074,0.6324,0.8607,0.7915,0.6746,0.7331,0.9277,0.8613,0.8945,0.8395,0.8777,0.8586
45.7,-0.0131,0.6254,0.8609,0.79,0.6791,0.7346,0.9155,0.8501,0.8828,0.8398,0.8754,0.8576
45.8,-0.018,0.6187,0.8589,0.7876,0.6831,0.7354,0.9028,0.8382,0.8705,0.8388,0.8716,0.8552
45.9,-0.0219,0.6121,0.8547,0.784,0.686,0.735,0.8897,0.8259,0.8578,0.8366,0.866,0.8513
46,-0.0237,0.6056,0.8487,0.7784,0.6873,0.7329,0.8763,0.8131,0.8447,0.8331,0.8588,0.8459
46.1,-0.0227,0.5988,0.8411,0.7703,0.6865,0.7284,0.8627,0.8002,0.8314,0.8284,0.85,0.8392
46.2,-0.0194,0.592,0.8324,0.7597,0.6839,0.7218,0.849,0.7874,0.8182,0.8228,0.8405,0.8317
46.3,-0.0149,0.5854,0.8228,0.7468,0.6802,0.7135,0.8353,0.7752,0.8053,0.8168,0.8311,0.8239
46.4,-0.0104,0.5797,0.8129,0.732,0.6754,0.7037,0.822,0.7641,0.7931,0.8109,0.8224,0.8166
46.5,-0.0076,0.5752,0.8033,0.7158,0.6699,0.6929,0.8097,0.7543,0.782,0.8058,0.815,0.8104
46.6,-0.0072,0.5723,0.7946,0.6988,0.6638,0.6813,0.7986,0.7461,0.7724,0.8021,0.8094,0.8058
46.7,-0.0086,0.5711,0.7872,0.6818,0.6573,0.6696,0.7888,0.7395,0.7642,0.8001,0.8061,0.8031
46.8,-0.0116,0.5716,0.7811,0.6655,0.6508,0.6581,0.7802,0.7346,0.7574,0.7999,0.8051,0.8025
46.9,-0.0169,0.5742,0.7764,0.6506,0.6451,0.6479,0.7727,0.7312,0.752,0.8011,0.8059,0.8035
47,-0.025,0.5789,0.7727,0.638,0.6407,0.6394,0.7661,0.7293,0.7477,0.8034,0.8078,0.8056
47.1,-0.036,0.5854,0.7694,0.6278,0.6374,0.6326,0.76,0.7282,0.7441,0.8058,0.8097,0.8077
47.2,-0.0494,0.5931,0.7659,0.6197,0.6347,0.6272,0.754,0.7276,0.7408,0.8073,0.8104,0.8088
47.3,-0.065,0.6014,0.7616,0.6135,0.6324,0.6229,0.7479,0.7271,0.7375,0.8073,0.8091,0.8082
47.4,-0.0828,0.61,0.7567,0.6088,0.6305,0.6197,0.7415,0.7268,0.7342,0.8057,0.8056,0.8057
47.5,-0.1028,0.6187,0.7513,0.6056,0.6293,0.6174,0.7349,0.7268,0.7308,0.8025,0.7999,0.8012
47.6,-0.1249,0.6278,0.7454,0.6041,0.6291,0.6166,0.7284,0.7273,0.7278,0.7979,0.7921,0.795
47.7,-0.1487,0.6375,0.7394,0.6045,0.6305,0.6175,0.7225,0.7284,0.7255,0.7924,0.7827,0.7875
47.8,-0.1727,0.6467,0.7331,0.6064,0.6327,0.6195,0.7171,0.7299,0.7235,0.7857,0.7719,0.7788
47.9,-0.1948,0.6541,0.7266,0.6087,0.6348,0.6217,0.712,0.7313,0.7217,0.7778,0.7599,0.7689
48,-0.2139,0.6588,0.7202,0.6111,0.6364,0.6237,0.7072,0.7324,0.7198,0.7689,0.7472,0.758
48.1,-0.2296,0.6608,0.7143,0.6134,0.6378,0.6256,0.7024,0.7332,0.7178,0.7595,0.7341,0.7468
48.2,-0.2411,0.6599,0.7091,0.6157,0.6391,0.6274,0.6978,0.7339,0.7158,0.75,0.721,0.7355
