Time,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.3,-0.2814,0.5772,0.5429,0.4362,0.5608,0.4985,0.4908,0.446,0.4684,0.4827,0.4916,0.4872
4.4,-0.2986,0.5768,0.551,0.4292,0.559,0.4941,0.4975,0.4622,0.4799,0.5002,0.4958,0.498
4.5,-0.3149,0.5765,0.5627,0.4216,0.5577,0.4896,0.5051,0.479,0.4921,0.5189,0.4993,0.5091
4.6,-0.3306,0.5772,0.5772,0.4138,0.5579,0.4859,0.5128,0.4958,0.5043,0.5373,0.5013,0.5193
4.7,-0.3457,0.5795,0.593,0.4065,0.56,0.4833,0.5199,0.5112,0.5155,0.5545,0.5015,0.528
4.8,-0.3598,0.583,0.6093,0.3995,0.5639,0.4817,0.5257,0.5242,0.5249,0.5694,0.4999,0.5347
4.9,-0.3724,0.5865,0.6252,0.3919,0.5688,0.4804,0.5298,0.534,0.5319,0.5818,0.4965,0.5392
5,-0.3832,0.5894,0.6402,0.3829,0.5744,0.4787,0.5319,0.5402,0.5361,0.5909,0.491,0.541
5.1,-0.3931,0.5919,0.6535,0.3724,0.5803,0.4764,0.532,0.5428,0.5374,0.5958,0.4831,0.5394
5.2,-0.4024,0.5948,0.6651,0.361,0.587,0.474,0.5301,0.5421,0.5361,0.5957,0.473,0.5343
5.3,-0.4114,0.5988,0.6747,0.3501,0.5953,0.4727,0.5269,0.5385,0.5327,0.5909,0.4611,0.526
5.4,-0.4199,0.6046,0.6824,0.3411,0.6061,0.4736,0.523,0.5327,0.5279,0.5816,0.4485,0.5151
5.5,-0.4273,0.6124,0.688,0.3344,0.6198,0.4771,0.5188,0.5259,0.5224,0.5685,0.436,0.5023
5.6,-0.4327,0.6227,0.6917,0.3303,0.6368,0.4835,0.5137,0.5195,0.5166,0.5519,0.4241,0.488
5.7,-0.4347,0.6357,0.694,0.3287,0.6569,0.4928,0.5073,0.5146,0.511,0.532,0.4128,0.4724
5.8,-0.4315,0.6519,0.696,0.3301,0.6799,0.505,0.4994,0.5124,0.5059,0.5099,0.4026,0.4563
5.9,-0.4221,0.6709,0.699,0.3352,0.7058,0.5205,0.4903,0.5139,0.5021,0.4871,0.3938,0.4404
6,-0.4071,0.692,0.7036,0.3444,0.7346,0.5395,0.4798,0.5194,0.4996,0.4651,0.3869,0.426
6.1,-0.3881,0.7144,0.7102,0.3574,0.766,0.5617,0.4677,0.5287,0.4982,0.4454,0.3819,0.4136
6.2,-0.3666,0.7372,0.7187,0.3733,0.7991,0.5862,0.4537,0.541,0.4974,0.4289,0.3787,0.4038
6.3,-0.3434,0.7594,0.7294,0.3907,0.8322,0.6115,0.4377,0.5552,0.4965,0.4167,0.3778,0.3972
6.4,-0.3192,0.7797,0.7427,0.4085,0.8634,0.636,0.4205,0.5709,0.4957,0.4098,0.3798,0.3948
6.5,-0.2958,0.7972,0.7589,0.4258,0.8915,0.6586,0.4038,0.588,0.4959,0.4092,0.3854,0.3973
6.6,-0.276,0.8113,0.7784,0.4418,0.9161,0.6789,0.3891,0.6075,0.4983,0.4155,0.3948,0.4052
6.7,-0.262,0.8224,0.8015,0.456,0.9371,0.6965,0.3774,0.6297,0.5036,0.4287,0.4079,0.4183
6.8,-0.2537,0.8308,0.8282,0.4682,0.9542,0.7112,0.3688,0.6544,0.5116,0.4479,0.4248,0.4364
6.9,-0.2498,0.8367,0.8582,0.4786,0.9665,0.7226,0.3632,0.6801,0.5217,0.4723,0.4452,0.4587
7,-0.2499,0.8401,0.8907,0.4868,0.9741,0.7305,0.36,0.7053,0.5326,0.5003,0.4686,0.4844
7.1,-0.2555,0.8411,0.9242,0.4919,0.9772,0.7346,0.3587,0.7285,0.5436,0.5306,0.4944,0.5125
7.2,-0.2687,0.8398,0.9567,0.4934,0.9761,0.7348,0.3593,0.7491,0.5542,0.5618,0.522,0.5419
7.3,-0.2898,0.8361,0.9863,0.4908,0.9706,0.7307,0.3618,0.7668,0.5643,0.5922,0.5508,0.5715
7.4,-0.3172,0.8297,1.0115,0.4839,0.9602,0.7221,0.3663,0.7816,0.574,0.6203,0.5804,0.6004
7.5,-0.3487,0.8203,1.0312,0.4731,0.9444,0.7087,0.3725,0.7932,0.5829,0.6447,0.61,0.6274
7.6,-0.3836,0.8083,1.0445,0.4585,0.9233,0.6909,0.3798,0.8013,0.5905,0.6641,0.6383,0.6512
7.7,-0.4229,0.7946,1.0501,0.4409,0.8984,0.6696,0.3874,0.8052,0.5963,0.6778,0.6637,0.6707
7.8,-0.4671,0.7802,1.047,0.4211,0.8709,0.646,0.3949,0.8042,0.5996,0.6852,0.6848,0.685
7.9,-0.5144,0.7661,1.0341,0.4005,0.8422,0.6213,0.4022,0.7975,0.5998,0.6862,0.7004,0.6933
8,-0.561,0.7524,1.0113,0.3802,0.8131,0.5966,0.4089,0.7843,0.5966,0.6806,0.7096,0.6951
