Time,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24.6,0.1575,0.0032,-0.0081,0.1493,-0.0861,0.0316,0.3678,0.2911,0.3294,0.2886,0.406,0.3473
24.7,0.1249,0.0132,0.0052,0.1726,-0.0628,0.0549,0.3786,0.2885,0.3336,0.2758,0.4062,0.341
24.8,0.0928,0.0255,0.0225,0.1983,-0.0365,0.0809,0.3911,0.2897,0.3404,0.2669,0.4057,0.3363
24.9,0.0627,0.0392,0.0439,0.2242,-0.0081,0.108,0.4052,0.2951,0.3501,0.2618,0.4046,0.3332
25,0.0354,0.0533,0.0694,0.2489,0.0215,0.1352,0.4206,0.3048,0.3627,0.2609,0.4031,0.332
25.1,0.0107,0.0671,0.0989,0.2713,0.0515,0.1614,0.4371,0.3185,0.3778,0.2643,0.4012,0.3328
25.2,-0.0121,0.0801,0.1318,0.2909,0.081,0.186,0.4537,0.3357,0.3947,0.2718,0.3992,0.3355
25.3,-0.0325,0.0927,0.1673,0.308,0.1091,0.2086,0.4696,0.3555,0.4125,0.2828,0.3971,0.3399
25.4,-0.0501,0.1058,0.2046,0.3232,0.1356,0.2294,0.4839,0.3775,0.4307,0.2968,0.3951,0.3459
25.5,-0.065,0.1204,0.2431,0.3375,0.1606,0.2491,0.4968,0.4017,0.4492,0.3137,0.3939,0.3538
25.6,-0.0777,0.1372,0.2824,0.3515,0.1844,0.268,0.509,0.4284,0.4687,0.3338,0.3946,0.3642
25.7,-0.0886,0.1564,0.3217,0.3656,0.2074,0.2865,0.5206,0.4571,0.4889,0.3573,0.398,0.3777
25.8,-0.0976,0.1784,0.3595,0.3802,0.2304,0.3053,0.5314,0.4868,0.5091,0.3832,0.4042,0.3937
25.9,-0.1043,0.2037,0.3939,0.396,0.2545,0.3252,0.5404,0.5167,0.5285,0.4101,0.4125,0.4113
26,-0.1086,0.2324,0.4246,0.4136,0.2809,0.3473,0.5471,0.5457,0.5464,0.4371,0.4225,0.4298
26.1,-0.1109,0.2638,0.4523,0.4328,0.3103,0.3715,0.5516,0.573,0.5623,0.4642,0.4344,0.4493
26.2,-0.1124,0.2965,0.4777,0.4523,0.3427,0.3975,0.5543,0.5983,0.5763,0.4912,0.4491,0.4702
26.3,-0.1136,0.329,0.501,0.4707,0.3779,0.4243,0.5553,0.6213,0.5883,0.5176,0.4667,0.4921
26.4,-0.1142,0.3602,0.5218,0.4876,0.4153,0.4515,0.5544,0.6422,0.5983,0.541,0.4862,0.5136
26.5,-0.1141,0.3891,0.5395,0.5031,0.4536,0.4783,0.5512,0.6604,0.6058,0.5593,0.5063,0.5328
26.6,-0.1138,0.4144,0.5542,0.5172,0.4908,0.504,0.5456,0.675,0.6103,0.5708,0.5261,0.5485
26.7,-0.1131,0.4349,0.5664,0.5294,0.5248,0.5271,0.5387,0.6857,0.6122,0.5754,0.5453,0.5604
26.8,-0.1113,0.4496,0.5768,0.5388,0.5533,0.546,0.5315,0.6919,0.6117,0.5733,0.5637,0.5685
26.9,-0.1083,0.4581,0.5846,0.5444,0.5748,0.5596,0.5248,0.693,0.6089,0.565,0.5806,0.5728
27,-0.1051,0.4598,0.5882,0.5456,0.5887,0.5671,0.5185,0.6879,0.6032,0.5507,0.5948,0.5727
27.1,-0.103,0.4544,0.5862,0.5416,0.5949,0.5683,0.5119,0.6761,0.594,0.5315,0.605,0.5683
27.2,-0.1016,0.4423,0.5779,0.5322,0.5933,0.5628,0.5035,0.6578,0.5806,0.5091,0.611,0.56
27.3,-0.0995,0.4248,0.5634,0.5175,0.5839,0.5507,0.4924,0.6328,0.5626,0.4852,0.6127,0.5489
27.4,-0.0948,0.4034,0.5429,0.4982,0.567,0.5326,0.4782,0.601,0.5396,0.4608,0.6102,0.5355
27.5,-0.087,0.3798,0.5168,0.4752,0.5436,0.5094,0.4614,0.5627,0.512,0.4364,0.603,0.5197
27.6,-0.0766,0.3549,0.4857,0.4493,0.515,0.4822,0.4427,0.5192,0.481,0.4125,0.5911,0.5018
27.7,-0.0653,0.33,0.45,0.4214,0.4832,0.4523,0.4234,0.4727,0.4481,0.3902,0.5747,0.4825
27.8,-0.0536,0.3057,0.4107,0.3922,0.4493,0.4208,0.4046,0.4252,0.4149,0.3709,0.5542,0.4626
27.9,-0.0406,0.2825,0.3689,0.3629,0.4138,0.3884,0.3871,0.3783,0.3827,0.3558,0.5307,0.4433
28,-0.0244,0.2606,0.3253,0.334,0.3768,0.3554,0.3718,0.3331,0.3525,0.3459,0.505,0.4255
28.1,-0.0035,0.2403,0.2809,0.306,0.3382,0.3221,0.3592,0.2909,0.325,0.3418,0.4783,0.4101
28.2,0.0232,0.2218,0.2373,0.2793,0.2982,0.2888,0.3492,0.2528,0.301,0.344,0.452,0.398
28.3,0.0561,0.2052,0.1966,0.2542,0.2573,0.2557,0.3417,0.2193,0.2805,0.3526,0.4272,0.3899
28.4,0.0948,0.1911,0.1608,0.2313,0.2156,0.2235,0.3366,0.1908,0.2637,0.3677,0.4046,0.3861
28.5,0.1385,0.1797,0.132,0.2118,0.1733,0.1926,0.3343,0.1674,0.2508,0.3889,0.3845,0.3867
28.6,0.1864,0.1712,0.1125,0.1966,0.1308,0.1637,0.3349,0.1496,0.2423,0.4158,0.3673,0.3916
28.7,0.2373,0.1657,0.1051,0.1866,0.0886,0.1376,0.3385,0.139,0.2388,0.4479,0.3533,0.4006
28.8,0.2896,0.1634,0.1121,0.1827,0.0476,0.1151,0.3452,0.1368,0.241,0.4845,0.3426,0.4135
28.9,0.342,0.1639,0.135,0.1856,0.0091,0.0973,0.3547,0.1441,0.2494,0.5241,0.3357,0.4299
29,0.3934,0.1668,0.1741,0.1963,-0.0254,0.0855,0.3669,0.1612,0.264,0.5646,0.3326,0.4486
29.1,0.4427,0.1714,0.2283,0.2159,-0.0548,0.0806,0.3812,0.1874,0.2843,0.6039,0.3329,0.4684
29.2,0.4874,0.1774,0.2945,0.2451,-0.078,0.0836,0.3973,0.2219,0.3096,0.6401,0.337,0.4885
29.3,0.5238,0.1844,0.3685,0.2835,-0.0939,0.0948,0.415,0.2643,0.3396,0.6722,0.3455,0.5088
29.4,0.5477,0.1924,0.4462,0.3296,-0.101,0.1143,0.4339,0.3138,0.3738,0.6999,0.3592,0.5296
29.5,0.5547,0.2015,0.5226,0.3801,-0.0975,0.1413,0.4536,0.3682,0.4109,0.7224,0.3782,0.5503
29.6,0.5406,0.2126,0.5911,0.4307,-0.0824,0.1742,0.473,0.4241,0.4486,0.7382,0.4014,0.5698
29.7,0.5026,0.2262,0.6462,0.477,-0.0558,0.2106,0.4905,0.4769,0.4837,0.7464,0.427,0.5867
29.8,0.44,0.242,0.6856,0.5145,-0.0206,0.2469,0.5041,0.5224,0.5132,0.7476,0.4533,0.6005
29.9,0.3551,0.2584,0.7092,0.5393,0.0193,0.2793,0.5123,0.5581,0.5352,0.7429,0.48,0.6115
